num_children	level	entropy	env_vector	num_samp	num_env
5	6	1.94009840939	"[ 0.97619048  0.          1.5952381   1.92857143  0.          0.16666667
  0.          0.          0.          0.          0.33333333  0.          0.
  0.          0.          0.          0.        ]"	39	17
16	6	2.6323993109	"[ 1.93333333  0.          1.27777778  0.2         0.125       1.42222222
  0.          0.16944444  5.38333333  0.          0.          0.16666667
  3.83055556  1.34444444  0.          0.02222222  0.125     ]"	81	17
152	5	2.82196084907	"[  2.63888889e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   6.01139467e+00   2.91429730e+00   0.00000000e+00   1.07071960e+00
   2.14788449e+01   4.16666667e-02   2.49315837e+01   5.08729826e+00
   5.52685196e+01   9.99439305e+00   7.99709587e+00   1.30686880e+01
   1.49660955e+00]"	401	17
2309	4	3.64770379813	"[ 118.92750478   23.87225842   10.89219694   16.81512422   59.75233117
  195.63967411   11.0282363    68.6208766   180.04796947   94.06573533
  125.89049636  332.46791185  341.62241756  247.17760197  191.56791641
  202.48429665   88.12745187]"	1332	17
3	7	0.888686552578	"[ 2.375  0.     0.     0.125  0.     0.5    0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.   ]"	10	17
2	5	1.0	[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.]	3	17
134	4	2.41779621823	"[  1.52538151   0.           0.           0.10633214   1.31889564
   0.31827542   0.           0.72960993  22.59775843   1.65725806
  20.67494048   0.42184685  55.89786298  19.45155928   0.39549067
   7.58919722   1.3155914 ]"	351	17
870	4	2.22666288039	"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   2.57575758e-01   4.16666667e-02   2.33333333e+00   0.00000000e+00
   6.09027756e+01   2.00000000e+00   4.45635824e+02   6.09597819e+01
   2.94277913e+01   1.39602429e+01   4.28993757e+01   1.68775806e+02
   4.28058263e+01]"	385	17
23	6	2.10435954852	"[ 8.77564103  0.          8.55769231  2.          0.57211538  1.34134615
  0.          0.02564103  1.          0.          0.          0.          0.
  0.7275641   0.          0.          0.        ]"	101	17
10	7	1.84632191534	"[ 0.          0.          0.          0.          0.          0.
  0.14285714  0.          0.          0.14285714  0.          1.95        0.
  0.          1.4         1.          5.36428571]"	51	17
13	6	2.55587360282	"[ 2.02164502  0.04545455  0.          0.          1.04545455  0.
  0.25757576  0.          0.          1.14285714  0.14285714  5.54329004
  0.          0.          0.51515152  1.09090909  1.19480519]"	57	17
1	7	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.]	2	17
118	4	2.7147089258	"[  1.36120688e+01   7.51089325e-02   2.79212086e-02   1.26923795e+00
   2.13653513e+00   3.29815787e+00   0.00000000e+00   7.39562942e-01
   1.64523366e+01   5.31857511e+00   2.30918698e+00   3.93470304e+00
   5.25372495e+01   9.95358608e+00   2.78239518e-01   1.97384352e+00
   4.08368685e+00]"	418	17
1	6	-0.0	[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]	1	17
2	7	1.89370465964	"[ 0.          0.          0.19230769  0.          0.          0.25        0.
  0.          0.          0.          0.51923077  0.07692308  0.
  0.96153846  0.          0.          0.        ]"	27	17
51	6	2.79406294462	"[  0.00000000e+00   1.63934426e-02   0.00000000e+00   1.76470588e-01
   4.76923077e-01   5.83257919e-01   4.34444444e+00   9.80392157e-03
   0.00000000e+00   5.83708347e+00   5.87959103e+00   1.09907017e+01
   1.00000000e+00   9.14285714e-01   1.53359167e+01   4.66666667e-01
   4.96846137e+00]"	264	17
288	4	3.2603745715	"[  1.08823529   4.35         0.26326531   0.67857143   4.73631725
   7.12222786   0.           1.2         24.97804302   5.57142857
  38.08400142  41.10138995  54.14658221  26.40536157  44.3445095
  25.54157456   8.38849206]"	426	17
594	5	3.42760032994	"[   5.64514907    5.27424242    2.26897943   11.9766012     7.28095656
   21.24700141    4.25         10.3312708    19.71747856   76.46349296
   39.82226571  138.17895114   31.93563897   24.01528282   58.26225036
   70.10426245   67.22617614]"	831	17
476	4	2.81258890649	"[  1.88836797e+02   2.80454703e+01   3.37100578e+01   4.17026470e+01
   5.75616220e+01   6.63206441e+01   1.08108108e-02   1.23103679e+01
   1.15290988e-01   1.21065026e+00   1.06752414e+00   1.40307771e+01
   3.76041199e+00   1.81709985e+01   2.81976436e+00   5.58993669e+00
   7.36228703e-01]"	963	17
1	6	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.]	1	17
185	4	2.05465837375	"[  0.           0.           0.           0.           1.5          0.           0.
   0.55        74.63268472   0.          43.24856747   1.29761905
  50.3839076    4.6962766    0.25608974   5.43485482   3.        ]"	288	17
2	5	2.15563906223	"[ 0.    0.    0.    0.    0.25  0.    0.    0.    0.    0.    0.    0.75
  0.    0.5   0.    0.25  0.25]"	6	17
2	6	1.56041901883	"[ 0.69444444  0.          0.          0.          0.          0.02777778
  0.          0.          0.13888889  0.          0.          0.
  0.08333333  1.05555556  0.          0.          0.        ]"	37	17
7	7	1.92242025794	"[ 1.16285714  0.07142857  0.01428571  0.04285714  2.63142857  2.68        0.
  0.          0.          0.          0.          0.04285714  0.04        0.3
  0.          0.01428571  0.        ]"	94	17
3	7	1.64925716911	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.4         0.          0.          0.          0.16666667
  0.33333333  0.2         1.9         0.        ]"	12	17
3	6	2.44671902188	"[ 0.16666667  0.          0.          0.          0.          0.          0.
  0.          0.33333333  0.          0.          0.          0.77777778
  0.61111111  0.          0.66666667  0.44444444]"	18	17
3333	3	3.4830149847	"[ 534.11711559   35.17382755  719.39038185  331.63229886  220.37198265
  212.91227539    8.48400298   19.48563436  110.03277449   10.24483392
  170.27924862  359.85590355   90.27255052  100.17016052  115.1350037
  203.81409724   91.62790823]"	1275	17
6	6	2.63277960699	"[ 1.54761905  0.          0.          0.          0.5         1.61904762
  0.          1.21428571  0.07142857  0.32142857  0.25        0.
  0.14285714  0.33333333  0.          0.          0.        ]"	25	17
36	6	1.6872964195	"[  0.           0.           0.           0.           0.           0.03846154
   1.11111111   0.           0.           0.           2.67179487
  23.16423519   0.           0.           0.86495726   3.25373932
   4.89570071]"	89	17
