num_children	level	entropy	env_vector	num_samp	num_env
2	7	-0.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.]	3	17
51	3	3.32342087824	"[ 1.42666667  0.          3.25        0.04        0.5         4.35535354
  0.          0.          9.46959101  1.66666667  5.8863983   7.60479798
  7.67751238  1.26484848  4.42424242  2.51262626  0.9212963 ]"	229	17
5	5	1.52192809489	[ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  2.  0.  2.  0.  0.  0.  0.]	10	17
2	7	1.0	[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.]	3	17
2307	5	3.62741991795	"[  86.54789588   17.13756784   96.66489107   55.7032312    30.56066585
   79.86431427   16.41594517   19.57717033  217.42574885   66.73571546
  336.03428516  335.05251514  310.47216759  139.72491828  144.86194425
  243.46018567  110.760838  ]"	1624	17
12	6	2.69375756065	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.58333333  0.4         0.66666667  0.4         2.41666667
  1.          3.93333333  0.5         2.1       ]"	36	17
126	4	3.50289577983	"[  6.03111472   0.09090909   7.08279221   1.24431818   3.09525641
   3.33174992   0.           0.17613636   8.04048035   4.20285714
  21.08614885  13.50484848  21.50313853   5.59811355   8.59090909
  14.47836996   7.94285714]"	438	17
24	6	3.59529863332	"[ 2.2         0.          1.4         0.68333333  1.5         1.7         1.
  0.2         0.          0.58333333  3.66666667  2.25        0.625       1.2
  1.16666667  4.33333333  1.49166667]"	71	17
2	6	2.02727808076	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.41666667  0.          0.16666667  0.          0.25
  0.08333333  1.          0.08333333  0.        ]"	13	17
7	6	2.43680504101	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          1.05555556  0.          1.11111111  0.16666667  2.66666667
  0.5         1.          0.5         0.        ]"	30	17
13	6	2.78347973475	"[ 0.          0.          0.          0.33333333  0.          0.          0.
  0.          1.44444444  0.66666667  1.          2.          2.44444444
  0.          0.          2.61111111  2.5       ]"	31	17
1	7	-0.0	[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]	1	17
1	6	1.58496250072	"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.33333333
  0.33333333  0.          0.33333333  0.        ]"	3	17
38	5	3.41098344278	"[ 0.25        1.02307692  1.45909091  0.3         1.08473558  0.22222222
  0.          0.          3.49268353  1.33333333  5.85854055  1.59114583
  4.11495536  4.51006944  3.17447917  7.49122271  2.09444444]"	293	17
244	3	3.60354153655	"[ 10.91449407   3.23076923  13.28031437   5.47645936   4.15851546
   7.79965035   0.           1.63596491  23.62728133   6.65909587
  36.19214168  35.09518717  36.72047376  11.57625295  16.70423229
  19.48674297  11.44242424]"	753	17
73	4	3.30658783708	"[  3.           0.03846154   1.5          0.24707602   0.03225806   2.5
   1.           0.           9.24322064   2.80847953   6.92511521
  12.92705628  14.96247816   3.4065592    4.348557     8.72524052
   1.33549784]"	297	17
1570	4	3.63755974967	"[  64.99637746    8.83929019   57.47359782   36.22209297   25.20360148
   44.82592639   15.06570048   14.77759025  157.87956085   50.20872144
  211.7676948   199.6636326   225.31887958  104.48415909   97.79418644
  186.21988082   69.25910732]"	1486	17
12	6	3.25057393168	"[ 0.          0.          0.          1.05882353  1.125       0.55882353
  0.85714286  0.          1.83333333  0.88235294  0.26315789  1.19548872
  1.92763158  2.03508772  0.10526316  0.15789474  0.        ]"	66	17
