sample_name	sample_accession
905.Alsback.0.25to0.5cm	ERS1571232
905.Alsback.0.5to0.75cm	ERS1571233
905.Alsback.0.75to1cm	ERS1571234
905.Alsback.0to0.25cm	ERS1571235
905.Alsback.3.5to4cm	ERS1571236
905.Alsback.3to3.5cm	ERS1571237
905.Alsback.4.5to5cm	ERS1571238
905.Alsback.4to4.5cm	ERS1571239
905.Gullmarsfjord.stations1	ERS1571240
905.Gullmarsfjord.stations2	ERS1571241
905.Gullmarsfjord.stations3	ERS1571242
905.Gullmarsfjord.stations4	ERS1571243
905.Gullmarsfjord.stations5	ERS1571244
905.Gullmarsfjord.stations6	ERS1571245
905.Gullmarsfjord.stations7	ERS1571246
905.Gullmarsfjord.stations8	ERS1571247
905.Gullmarsfjord.stations9	ERS1571248
905.PLO6.t0B	ERS1571249
905.PLO6.t0C	ERS1571250
905.PLO6.t0D	ERS1571251
905.PLO6.t2.ANOX.0to1cm.1	ERS1571252
905.PLO6.t2.ANOX.0to1cm.2	ERS1571253
905.PLO6.t2.ANOX.0to1cm.3	ERS1571254
905.PLO6.t2.OSCANOX.0to1cm.1	ERS1571255
905.PLO6.t2.OSCANOX.0to1cm.2	ERS1571256
905.PLO6.t2.OSCANOX.0to1cm.3	ERS1571257
905.PLO6.t2.OSCOX.0to1cm.1	ERS1571258
905.PLO6.t2.OSCOX.0to1cm.2	ERS1571259
905.PLO6.t2.OSCOX.0to1cm.3	ERS1571260
905.PLO6.t2.OX.0to1cm.1	ERS1571261
905.PLO6.t2.OX.0to1cm.2	ERS1571262
905.PLO6.t2.OX.0to1cm.3	ERS1571263
905.PLO6.t3.ANOX.0to1cm.1	ERS1571264
905.PLO6.t3.ANOX.0to1cm.2	ERS1571265
905.PLO6.t3.ANOX.0to1cm.3	ERS1571266
905.PLO6.t3.OSCANOX.0to1cm.1	ERS1571267
905.PLO6.t3.OSCANOX.0to1cm.2	ERS1571268
905.PLO6.t3.OSCANOX.0to1cm.3	ERS1571269
905.PLO6.t3.OSCOX.0to1cm.1	ERS1571270
905.PLO6.t3.OSCOX.0to1cm.2	ERS1571271
905.PLO6.t3.OSCOX.0to1cm.4	ERS1571272
905.PLO6.t3.OX.0to1cm.2	ERS1571273
905.PLO6.t3.OX.0to1cm.3	ERS1571274
905.PLO6.t3.OX.0to1cm.4	ERS1571275
905.SA.Station.1.t0	ERS1571276
905.SA.Station.1.tF	ERS1571277
905.SA.Station.2.t0	ERS1571278
905.SA.Station.2.tF	ERS1571279
905.SA.Station.3.t0	ERS1571280
905.SA.Station.3.tF	ERS1571281
905.SA.Station.4.t0	ERS1571282
905.SA.Station.4.tF	ERS1571283
905.SA.Station.5.t0	ERS1571284
905.SA.Station.5.tF	ERS1571285
905.SA.Station.6.t0	ERS1571286
905.SA.Station.6.tF	ERS1571287
905.SA.Station.7.t0	ERS1571288
905.SA.Station.7.tF	ERS1571289
905.SA.Station.8.t0	ERS1571290
905.SA.Station.8.tF	ERS1571291
