qiita_study_id	ebi_study_accession
550	ERP021896
632	ERP020023
638	ERP020508
659	ERP017166
662	ERP020507
678	ERP017221
713	ERP016412
722	ERP020884
723	ERP020022
755	ERP020510
776	ERP017438
804	ERP016395
805	ERP020539
807	ERP016468
808	ERP020590
809	ERP020021
810	ERP020587
829	ERP020560
846	ERP020589
861	ERP017176
864	ERP017220
889	ERP017174
894	ERP016405
895	ERP020591
905	ERP021691
910	ERP016416
925	ERP022167
933	ERP021699 
940	ERP016495
945	ERP022245
958	ERP016748
963	ERP016749
990	ERP016752
1001	ERP016540
1024	ERP006348
1030	ERP016543
1031	ERP016746
1033	ERP016586
1034	ERP016735
1035	ERP021864
1036	ERP016588
1037	ERP016587
1038	ERP016539
1039	ERP016734
1041	ERP016492
1043	ERP016592
1056	ERP003782
1064	ERP016607
1197	ERP016581
1198	ERP016557
1222	ERP016464
1235	ERP016542
1240	ERP016541
1242	ERP016591
1288	ERP016854
1289	ERP016852
1453	ERP016286
1481	ERP016451
1521	ERP023684
1526	ERP016869
1578	ERP010098
1579	ERP016879
1580	ERP016883
1621	ERP016466
1622	ERP016496
1627	ERP016880
1632	ERP016455
1642	ERP016900
1665	ERP016924
1673	ERP016923
1674	ERP016925
1692	ERP016927
1694	ERP016469
1696	ERP016329
1702	ERP016926
1711	ERP021540
1713	ERP021541
1714	ERP021542
1715	ERP021543
1716	ERP021544
1717	ERP021545
1721	ERP016937
1734	ERP016131
1736	ERP016483
1747	ERP016252
1748	ERP022166
1773	ERP016414
1774	ERP016472
1799	ERP023686
1883	ERP017459
2080	ERP016287
2182	ERP016285
2192	ERP005806
2229	ERP021895
2300	ERP016384
2338	ERP016491
2382	ERP006348
