,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
c__KB1(22),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12272727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.8772727272727273,0.0,0.0
c__Halobacteria(345),0.015027997364953886,0.002898550724637681,0.019487107095802748,0.002898550724637681,0.0,0.0,0.002378050693268084,0.0,0.005304049814919379,0.00041407867494824016,0.3696399815965033,0.05691252587991718,0.007922705314009662,0.0,0.006687370600414079,0.003864734299516908,0.0,0.5065642972164712,0.0,0.0
c__AB16(281),0.0003558718861209964,0.000754879758438477,0.0007117437722419928,0.0,0.0,0.0,0.0,0.0,0.0,0.0006676834434841551,0.1872251296722722,0.0027752380684455567,0.03694671225548344,0.007117437722419928,0.04151674567116311,0.6915608234676051,0.0,0.03036773428232502,0.0,0.0
c__BS119(25),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06666666666666667,0.0,0.10933333333333334,0.0,0.10400000000000001,0.68,0.0,0.0,0.0,0.0
c__Gloeobacterophycideae(41),0.0,0.0,0.0,0.0,0.0,0.02439024390243903,0.0,0.0,0.029011807975222615,0.0629212420370957,0.026607538802660757,0.8187713370640202,0.0025043554006968644,0.0,0.03579347481786507,0.0,0.0,0.0,0.0,0.0
c__SM1A07(19),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.6052631578947368,0.10526315789473684,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0
c__Chlorobia(27),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03198653198653199,0.0,0.6296296296296297,0.07407407407407407,0.0,0.1606060606060606,0.1037037037037037,0.0,0.0,0.0,0.0
c__Thermotogae(12),0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
c__Methanobacteria(166),0.01961374007257206,0.0,0.0005315379163713678,0.06442040079988003,0.13349768337301932,0.0,0.0015060240963855422,0.028258786705352937,0.04813369946738546,0.20001548142684114,0.09502380241083368,0.019825671232348366,0.018441111384312762,0.04453049652860877,0.045170484242870367,0.019484895604262406,0.0,0.2615461847389558,0.0,0.0
c__TM7-3(51),0.06862745098039216,0.024509803921568627,0.16737709576584256,0.0392156862745098,0.08333333333333333,0.0,0.060784313725490195,0.058823529411764705,0.12745098039215685,0.0,0.0,0.0196078431372549,0.03333333333333333,0.08098891730605284,0.23267973856209148,0.00326797385620915,0.0,0.0,0.0,0.0
c__BME43(32),0.0,0.0,0.0,0.0,0.0,0.23836805555555554,0.0,0.0,0.0,0.0,0.35017361111111117,0.0625,0.049999999999999996,0.0,0.015625,0.22083333333333333,0.0,0.0625,0.0,0.0
c__WCHB1-03(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211591438864166,0.25031786395422756,0.0,0.008264462809917356,0.006993006993006993,0.0,0.2829624920534011,0.0303030303030303,0.0,0.0,0.0,0.0
c__SAR202(173),0.010597302504816955,0.0,0.0,0.0,0.0,0.0,0.0060845756008518406,0.0,0.005372864636630989,0.027500437905062177,0.30629766152972543,0.05409944988588128,0.21826324767076216,0.0005780346820809249,0.02601156069364162,0.3336341712489282,0.0,0.011560693641618497,0.0,0.0
c__3BR-5F(40),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04583333333333333,0.024999999999999994,0.10416666666666663,0.21749999999999994,0.03749999999999999,0.375,0.0,0.08666666666666666,0.10833333333333331,0.0,0.0,0.0,0.0
c__[Brevinematae](46),0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.5076420671243326,0.10896739130434784,0.1168478260869565,0.11255720823798626,0.0,0.0,0.0,0.11050724637681159,0.021739130434782608,0.0,0.0,0.0,0.0
c__At12OctB3(19),0.05921052631578946,0.004385964912280701,0.006578947368421051,0.0,0.0,0.0,0.0021929824561403503,0.02850877192982456,0.13011695906432746,0.3830409356725145,0.0982456140350877,0.028508771929824553,0.055555555555555546,0.006578947368421051,0.02339181286549707,0.026315789473684206,0.0,0.14736842105263154,0.0,0.0
c__SBZP_4958(15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777776,0.3333333333333333,0.0,0.3222222222222222,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0
c__Synergistia(62),0.038164968873797396,0.0008488964346349745,0.09836587436332768,0.3074702886247878,0.2854838709677419,0.0,0.0008488964346349745,0.0,0.008064516129032258,0.0,0.08064516129032258,0.0026881720430107525,0.0,0.14516129032258066,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
c__RF3(53),0.0,0.0,0.03773584905660377,0.0330188679245283,0.6136717580113806,0.0,0.0,0.018867924528301886,0.0047169811320754715,0.0,0.0,0.0,0.0,0.13906858340820605,0.15292003593890385,0.0,0.0,0.0,0.0,0.0
c__Deferribacteres(14),0.15714285714285717,0.0,0.07142857142857144,0.14285714285714288,0.4285714285714286,0.0,0.014285714285714289,0.0,0.0,0.0,0.0,0.014285714285714289,0.028571428571428577,0.0,0.07142857142857144,0.07142857142857144,0.0,0.0,0.0,0.0
c__Mollicutes(716),0.045519255913363144,0.006086206113457783,0.028622526087239183,0.06094002521376825,0.4889549137400871,0.004189944134078213,0.0,0.05206171854216548,0.034264432029795164,0.0033007448789571705,0.060716848191790684,0.012526205240691911,0.020515859975275035,0.091159869770205,0.06538160712576327,0.023839451981910086,0.0,0.0019203910614525143,0.0,0.0
c__Bacteroidia(3333),0.07025407952424097,0.01055320358404212,0.05974419771441521,0.0994996396216696,0.21583869842450232,0.003073757550334683,0.005846274935023558,0.03301313366052044,0.027084473604206676,0.05108888347385413,0.10796756782252612,0.03005405356076544,0.03454395550610712,0.1602511597924756,0.06115034420614122,0.02749112158077388,0.0,0.0025454554384009833,0.0,0.0
c__Clostridia(8452),0.0740642707195578,0.012243809200694317,0.03174161439820912,0.10734906364346893,0.32357413111692046,0.0010579721657248342,0.008682565697775644,0.06522673925214888,0.03315622077310854,0.02484480225709868,0.045878720391750324,0.03667629532449481,0.01628565602726252,0.14627436465685587,0.05570037717722549,0.013023864298568251,0.0,0.004219532899135358,0.0,0.0
c__Erysipelotrichi(455),0.12123021622492111,0.0073281986583512825,0.02762422599759947,0.1852739406864234,0.3491359275635254,0.0,0.017445966017358733,0.0005494505494505496,0.013154635653291797,0.003617174509702325,0.023640892663449056,0.05701429614096661,0.006849702789552415,0.1436845949865579,0.02892749863996663,0.014523278918883317,0.0,0.0,0.0,0.0
c__Coriobacteriia(244),0.06416562046520526,0.005833609317215873,0.058256161424023505,0.1737311176520339,0.4293291842639703,0.0,0.019363538354137132,0.0,0.006637316735513853,0.0,0.001428216592151018,0.050062214479278645,0.0,0.13371622307573838,0.05292306357880128,0.004553734061930783,0.0,0.0,0.0,0.0
c__Thermoprotei(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.4653679653679653,0.0,0.0,0.0,0.0,0.17099567099567098,0.18181818181818182,0.0,0.0,0.0,0.0
c__MBGA(79),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02416570771001151,0.20925804153652258,0.5021097046413503,0.07805907172995781,0.012658227848101266,0.0,0.0,0.08016877637130801,0.09358047016274863,0.0,0.0,0.0,0.0
c__SC3(191),0.01343804537521815,0.020942408376963352,0.018411867364746946,0.0,0.005235602094240838,0.013525305410122163,0.011169284467713788,0.12789827973074044,0.38058464223385696,0.0418598853153827,0.020555971079531287,0.04210296684118673,0.014469583644976313,0.011780104712041885,0.27802605335327857,0.0,0.0,0.0,0.0,0.0
c__JG37-AG-4(38),0.005263157894736841,0.0,0.0,0.0,0.0,0.035087719298245605,0.0,0.012280701754385963,0.7465747702589808,0.055555555555555546,0.0,0.0,0.0,0.039974937343358385,0.10526315789473682,0.0,0.0,0.0,0.0,0.0
c__Chloroplast(1700),0.03283476573226897,0.011050285502384915,0.007470817534769793,0.03065441327165854,0.008450421321532302,0.06832642518498576,0.007153196929987063,0.05402752118189655,0.03780737009527829,0.04485965393337918,0.05998466021215192,0.07011218269782445,0.11287322974674185,0.03766728368199737,0.23402010658099223,0.18004903898950866,0.0,0.002658627402642203,0.0,0.0
c__koll11(1269),0.00010447262220311867,0.0007880220646178095,0.0001313370107696349,0.0,0.0,0.001576044129235619,0.0,0.0764379369169352,0.038924443584779596,0.44240795905968455,0.08294140191303313,0.018541200215804913,0.046685972227901835,0.00024625689519306544,0.23885980632299625,0.04756134614375372,0.0,0.0047938008930916735,0.0,0.0
c__[Micrarchaea](49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06224489795918368,0.012585034013605443,0.4846938775510204,0.04081632653061224,0.10204081632653061,0.0,0.0,0.2568027210884353,0.04081632653061224,0.0,0.0,0.0,0.0
c__Methanomicrobia(148),0.007068607068607069,0.0,0.0033783783783783786,0.0001437607820586544,0.04054054054054054,0.0,0.0,0.45756783103269744,0.031957920137707665,0.3133006627430848,0.042470979827959235,0.0003521723854395155,0.007137325072107683,0.0007903507903507903,0.06769970389200992,0.018582758340049348,0.0,0.009009009009009009,0.0,0.0
c__Endomicrobia(203),0.0,0.0,0.0,0.0,0.0049261083743842365,0.0003284072249589491,0.0,0.3344816845233391,0.10011316061078526,0.3137251943027158,0.017620310723759,0.02981772354341709,0.04802611397763069,0.0,0.13458198637418237,0.016379310344827588,0.0,0.0,0.0,0.0
c__12-24(38),0.004068141367912535,0.0,0.0004965243296921549,0.0,0.0,0.0,0.0,0.30709414694694537,0.10324502579630004,0.4052713130787585,0.019171752782126458,0.0655238640078457,0.0,0.0,0.08234702938904948,0.012782202301369701,0.0,0.0,0.0,0.0
c__SJA-176(229),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934251955360515,0.0851502172030491,0.4457623773551707,0.06357160147622043,0.03989568170790879,0.015701283273937997,0.000363901018922853,0.04125346877517233,0.014876273653566231,0.0,0.0,0.0,0.0
c__BSV26(426),0.0006808462794378288,0.0,0.0,0.0,0.0,0.0,0.0,0.2433228263454157,0.07427328266483867,0.4696304783660156,0.06129941037980142,0.025986562516202686,0.008873180909755996,0.000782472613458529,0.08792500586310333,0.026756450493895072,0.0,0.00046948356807511747,0.0,0.0
c__Gemm-6(14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.0,0.017857142857142856,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0
c__Deinococci(251),0.19621043732942153,0.017381011383947008,0.08442678591371373,0.007680097466114687,0.006450388920508442,0.024210848912044128,0.0917622806145926,0.012483399734395748,0.06324241105351955,0.030933840395991785,0.04854609105551008,0.21123171925923384,0.03619536192148966,0.05009038449649817,0.06896002229527873,0.02828256865013066,0.0,0.02191235059760956,0.0,0.0
c__WCHB1-64(73),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476808459504927,0.04409997596731555,0.0410958904109589,0.3561643835616438,0.07534246575342465,0.0,0.0,0.2671232876712329,0.0684931506849315,0.0,0.0,0.0,0.0
c__Bacilli(1487),0.11630304230798187,0.035465080571575235,0.07873268542473122,0.06565315420274632,0.058506919985215206,0.0038770290735153225,0.03561292160805219,0.0478263963030209,0.11131548056118372,0.013465187268101832,0.03958582972906205,0.07069174480944522,0.03251236045883456,0.23390511100549588,0.04441612598753944,0.011299003980607398,0.0,0.000831926722891653,0.0,0.0
c__Fusobacteriia(254),0.1653998029920153,0.04062995603565686,0.14807986903116832,0.05279787416639673,0.051203808316458654,0.015762366686116108,0.009350732835321921,0.00927071616047994,0.006490303864419293,0.015487289993636239,0.07558963585337,0.04418392720972253,0.026594044669727222,0.26014095139154425,0.04397190449311595,0.03166995182354454,0.0,0.0033768644773061905,0.0,0.0
c__[Rhodothermi](291),0.04750106708869596,0.009545628102329133,0.035643739156737804,0.0005727376861397479,0.001718213058419244,0.015252178138776079,0.02079998561957325,0.0064910271095838116,0.02722650562744691,0.038841586555616134,0.3074196932700486,0.07457979562977321,0.15812650118374652,0.013272241313478428,0.018260628260628266,0.10667512706380607,0.0,0.11807334513520079,0.0,0.0
c__OP11-4(15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.08,0.06666666666666667,0.0,0.19333333333333333,0.0,0.0,0.5933333333333334,0.0,0.0,0.0,0.0,0.0
c__OP11-2(48),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20793876262626262,0.04892676767676768,0.05158730158730159,0.18939393939393936,0.044958513708513705,0.04117063492063492,0.0,0.37138122294372294,0.044642857142857144,0.0,0.0,0.0,0.0
c__TM7-1(81),0.012345679012345678,0.010288065843621397,0.004320987654320987,0.0,0.0,0.0,0.06966490299823633,0.1102880658436214,0.15299823633156967,0.043209876543209874,0.0,0.03968253968253969,0.024691358024691357,0.019753086419753086,0.5004115226337449,0.012345679012345678,0.0,0.0,0.0,0.0
c__OP11-3(190),0.0,0.0,0.0,0.0,0.002631578947368421,0.007894736842105263,0.0,0.20201754385964912,0.12456140350877191,0.1336842105263158,0.07157894736842105,0.036008771929824566,0.059385964912280695,0.0,0.3484649122807018,0.013771929824561404,0.0,0.0,0.0,0.0
c__Mb-NB09(87),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142855,0.06951286261631089,0.1302681992337165,0.08390804597701149,0.034482758620689655,0.03295019157088123,0.0,0.46264367816091956,0.007662835249042145,0.0,0.0,0.0,0.0
c__ABY1(231),0.0091991341991342,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.16634793777650922,0.058464551321694175,0.10478370835513691,0.05514485514485514,0.013038548752834467,0.03426930212644498,0.0,0.5180509966224252,0.036371961371961366,0.0,0.0,0.0,0.0
c__GKS2-174(55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097979797979798,0.03383838383838384,0.08787878787878789,0.0,0.018181818181818184,0.1287878787878788,0.009090909090909092,0.6060606060606061,0.018181818181818184,0.0,0.0,0.0,0.0
c__ZB2(1220),0.0015027322404371584,0.0009836065573770492,0.003278688524590164,0.000819672131147541,0.0,0.015234701150595662,0.002459016393442623,0.09000534776752231,0.07449942568864816,0.05183983768218349,0.05140226942614684,0.04410269783521955,0.04453508407627624,0.0035909445745511324,0.592841780904929,0.021059932751851213,0.0,0.0018442622950819673,0.0,0.0
c__HDBW-WB69(52),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555554,0.029914529914529916,0.6638176638176638,0.09615384615384616,0.005163817663817663,0.057692307692307696,0.0,0.06285612535612536,0.028846153846153848,0.0,0.0,0.0,0.0
c__SHA-26(20),0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.07857142857142857,0.05,0.7089285714285715,0.025,0.0,0.05,0.05,0.0125,0.0,0.0,0.0,0.0,0.0
c__B5-096(21),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.7142857142857143,0.047619047619047616,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
c__DSEG(169),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03379953379953381,0.009548144163528779,0.8062130177514792,0.1301775147928994,0.0,0.0019723865877712033,0.0,0.008427469965931503,0.005917159763313609,0.0,0.0039447731755424065,0.0,0.0
c__OP2(54),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10182379349046015,0.006172839506172838,0.818097643097643,0.055555555555555546,0.0037037037037037034,0.009259259259259259,0.0,0.0,0.005387205387205387,0.0,0.0,0.0,0.0
c__SHA-114(40),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0023809523809523807,0.4046697388632873,0.45059523809523816,0.0,0.0,0.0,0.02985407066052227,0.0625,0.0,0.0,0.0,0.0
c__Dehalococcoidetes(834),0.0,0.00216112824026493,0.0,0.0,0.0,0.0,0.0007708119218910582,0.06655449258666421,0.02160924601759927,0.41315405173198055,0.4189045836587711,0.0006673730782815606,0.005733768780124148,0.00011854667209628519,0.03321038023184439,0.03428997062090586,0.0,0.0028256464595765233,0.0,0.0
c__MCG(401),0.0012468827930174563,0.0004987531172069826,0.0,0.0,0.0,0.0,0.00013125082031762697,0.04128047577169339,0.026985225614093025,0.6444236537144886,0.24777419800691233,7.334604664808566e-05,0.006567328813184761,0.0,0.0158459960757127,0.008522847663965457,0.0,0.0066500415627597665,0.0,0.0
c__MSB-5A5(42),0.0,0.015873015873015876,0.0,0.0,0.0,0.0,0.0,0.10416666666666669,0.03163580246913581,0.48367446393762187,0.2698412698412699,0.04181750672978743,0.0,0.0,0.05299127448250256,0.0,0.0,0.0,0.0,0.0
c__ODP123(92),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12491085806303198,0.025080515297906603,0.5461438923395445,0.2747584541062802,0.0,0.005434782608695652,0.0007246376811594203,0.010869565217391304,0.0012077294685990338,0.0,0.010869565217391304,0.0,0.0
c__Kazan-3B-09(28),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06547619047619048,0.005952380952380952,0.48214285714285715,0.2857142857142857,0.0,0.03571428571428571,0.0,0.125,0.0,0.0,0.0,0.0,0.0
c__BD4-9(299),6.431695394906098e-05,0.0008361204013377926,0.0,0.0,0.0,0.0,0.0,0.07206033313892846,0.00961650099581134,0.408860166164687,0.25166970710448977,0.002009709911047704,0.02317633160673179,0.004738015607580824,0.14023408292523737,0.08673471519019899,0.0,0.0,0.0,0.0
c__OP8_1(206),0.0,0.0190322083525967,0.0,0.0,0.0,0.0,0.0024271844660194173,0.046282385135649105,0.021081244322704862,0.41393255820285135,0.30125655090199294,0.007559598085209065,0.008567398715885296,0.0048543689320388345,0.10526880197944757,0.0544811128334829,0.0,0.015256588072122053,0.0,0.0
c__ABS-6(53),0.0,0.0,0.0,0.0020964360587002093,0.018867924528301883,0.1733139575706722,0.0,0.038714101950992265,0.647503078788255,0.013045811057709977,0.006514711703390948,0.00543840177580466,0.0,0.032159565391375,0.011995542378450257,0.050350468796347636,0.0,0.0,0.0,0.0
c__Epsilonproteobacteria(378),0.08705852627881391,0.019838532605175815,0.024809716493350224,0.04690274089433753,0.04781750432880043,0.04339463009903647,0.0015233771186152138,0.005379768866610971,0.008877412386184315,0.025207813622426543,0.3002910086500606,0.0120705931593987,0.11559938445772469,0.031024364055071665,0.0716819248162751,0.15828220192761772,0.0,0.0002405002405002405,0.0,0.0
c__Nitriliruptoria(72),0.1034722222222222,0.006944444444444443,0.05138888888888888,0.04166666666666666,0.0,0.0023148148148148143,0.013888888888888886,0.013888888888888886,0.2228009259259259,0.0034722222222222216,0.2770833333333333,0.05034722222222221,0.1023148148148148,0.02314814814814814,0.010416666666666664,0.05601851851851851,0.0,0.02083333333333333,0.0,0.0
c__Rubrobacteria(84),0.0735953631577013,0.02066400755610482,0.019299588275543993,0.07685982879267872,0.0032262208842668613,0.0,0.012276315283295001,0.02584780524675995,0.45768203246024025,0.001404635928445452,0.008999561347323637,0.04798384498970779,0.012756188043544366,0.09639069934313696,0.08808426049412532,0.0549296481971254,0.0,0.0,0.0,0.0
c__Gemm-3(189),0.14812724368275684,0.0002645502645502645,0.05944139375511923,0.026467624086671696,0.0,0.004409171075837741,0.025461788319426835,0.0650399629665958,0.4059725976967694,0.0017636684303350967,0.054674028205774224,0.06782092881535198,0.011243386243386241,0.10879786668538044,0.015699618289205845,0.004816171482838148,0.0,0.0,0.0,0.0
c__BD1-5(189),0.07545981355505167,0.0,0.034101788863693624,0.00812890812890813,0.0010582010582010585,0.24795574795574798,0.0,0.03104056437389771,0.00223398001175779,0.026513815402704297,0.2385315139701105,0.0037246997564457885,0.14573702775457162,0.0,0.10828924162257499,0.07722469754633497,0.0,0.0,0.0,0.0
c__Synechococcophycideae(601),0.03650845951022066,0.01798982145169871,0.004566675526582387,0.022185159528469424,0.007473090696074827,0.03711556921197199,0.0023156021074626732,0.024790449501457465,0.03606381509736951,0.09722585268235676,0.0802532679773042,0.2744212525400302,0.14558011325292863,0.015782080706640642,0.116347752190991,0.07146322427367188,0.0,0.009917813744768815,0.0,0.0
c__Nostocophycideae(192),0.11689310761576388,0.030853174603174605,0.018745866402116406,0.06756177849927851,0.005992922008547009,0.010483440170940172,0.006143162393162394,0.11024083268601918,0.053550822707198714,0.09301111460063866,0.07248326313698557,0.2030857249335011,0.08451563754872579,0.043724880443630446,0.07613222582452123,0.006582046425796425,0.0,0.0,0.0,0.0
c__4C0d-2(576),0.020716465247715247,0.004208754208754208,0.008326146816751392,0.020830905205905206,0.12044154244675075,0.005208333333333333,0.013353418128361598,0.21747008365178225,0.2051819280430458,0.07712179167879843,0.014195808531746032,0.04002324306057944,0.04505816499258542,0.028924903576184706,0.14751978923695627,0.02838052739630558,0.0,0.0030381944444444445,0.0,0.0
c__TG3(231),0.0,0.0,0.0,0.0,0.0,0.002164502164502165,0.0,0.2341590791766809,0.04826980146648546,0.3125584072012644,0.21533532604961175,0.0010822510822510825,0.07629698343984058,0.00432900432900433,0.06630076272933416,0.017858860716003573,0.0,0.021645021645021648,0.0,0.0
c__MSBL6(16),0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.5,0.0,0.06249999999999999,0.0,0.03125,0.25,0.0,0.0,0.0,0.0
c__JL-ETNP-Z39(14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
