,perm,level_name,entropy
3,Real,Family,2.82196084907
4,Real,Order,3.64770379813
7,Real,Order,2.41779621823
8,Real,Order,2.22666288039
9,Real,Genus,2.10435954852
13,Real,Order,2.7147089258
16,Real,Genus,2.79406294462
17,Real,Order,3.2603745715
18,Real,Family,3.42760032994
19,Real,Order,2.81258890649
21,Real,Order,2.05465837375
27,Real,Class,3.4830149847
29,Real,Genus,1.6872964195
30,Real,Family,2.53495617031
31,Real,Class,3.12103547449
33,Real,Genus,2.58907010643
34,Real,Order,2.69116212707
36,Real,Order,2.18637758174
37,Real,Family,2.34198502546
39,Real,Phylum,3.08510014901
43,Real,Genus,2.79603353915
44,Real,Genus,2.62342257971
50,Real,Species,3.31692005398
53,Real,Class,2.36540243114
55,Real,Class,2.59816692895
61,Real,Order,2.20159923518
63,Real,Family,2.5502148804
65,Real,Genus,2.90137065688
67,Real,Phylum,2.19342012014
68,Real,Order,3.36197882937
70,Real,Genus,2.63523249873
74,Real,Class,2.21441654812
75,Real,Class,2.80747773042
76,Real,Order,3.09109000906
78,Real,Family,2.61148072498
80,Real,Order,2.03723668915
81,Real,Order,3.73691705853
82,Real,Order,2.63401473492
83,Real,Genus,3.11046280365
85,Real,Class,1.98575062585
86,Real,Family,3.16703524961
88,Real,Family,3.11046280365
92,Real,Order,1.95173650282
93,Real,Genus,2.76063218386
94,Real,Genus,1.89764643258
96,Real,Family,3.18345402844
97,Real,Class,3.10456734818
99,Real,Genus,2.77970375792
102,Real,Family,3.20590480684
103,Real,Family,2.85938877037
104,Real,Order,2.00239044593
105,Real,Genus,2.41254160734
106,Real,Phylum,2.70109159937
107,Real,Class,2.94071433143
109,Real,Family,2.3939949062
114,Real,Family,2.37186910095
119,Real,Order,2.2603258073
120,Real,Family,2.3144030243
121,Real,Phylum,1.92487703463
122,Real,Class,2.51692139256
123,Real,Family,1.40209160964
124,Real,Order,2.6416211781
126,Real,Order,2.49557506465
129,Real,Class,1.44072209093
132,Real,Order,3.32989633646
134,Real,Family,3.06144739221
135,Real,Phylum,3.87775477456
139,Real,Genus,2.00088584508
141,Real,Genus,1.07687692727
144,Real,Order,2.16446016791
145,Real,Order,0.830930605766
146,Real,Family,3.23814508659
148,Real,Family,1.29458226854
153,Real,Family,3.41808404358
156,Real,Order,2.42234997225
157,Real,Class,1.95137955541
158,Real,Genus,2.54683662038
160,Real,Class,2.15771713448
161,Real,Species,2.7792062286
162,Real,Genus,2.85619167366
166,Real,Genus,2.68467736858
167,Real,Genus,2.35008316546
170,Real,Order,3.48899899492
174,Real,Family,2.99715644596
176,Real,Genus,1.89048719888
177,Real,Phylum,3.60977997469
180,Real,Class,3.73569613248
190,Real,Order,3.10613865811
192,Real,Phylum,2.20264973322
194,Real,Genus,3.57758732986
195,Real,Class,3.65222702664
199,Real,Family,3.15071476244
205,Real,Genus,2.63245863904
206,Real,Family,2.70157240487
220,Real,Family,2.14044521766
222,Real,Genus,3.25709144625
223,Real,Family,2.7067194878
226,Real,Order,3.27302423117
231,Real,Class,3.8155685528
232,Real,Genus,3.10612893696
238,Real,Phylum,0.548954434425
242,Real,Genus,2.94902895361
244,Real,Family,3.40092573733
245,Real,Class,2.02527985355
