,num_samp,entropy
3,16,1.62661447181
6,45,2.35305962256
9,39,2.00133393963
13,13,2.41159510597
15,63,2.90169370969
20,47,1.76804801411
32,12,0
33,33,0.195895634191
42,16,0
51,18,0.309522991288
86,10,0
161,10,0
180,22,0
185,14,0
190,22,0.266747018774
198,34,0.381565782167
215,22,0
216,16,0
218,18,0
224,25,0.242292189082
228,20,0
263,16,0
286,10,0
305,11,1.78991136312
336,22,1.34106098986
384,14,0
397,15,0
399,20,0
402,17,0
431,12,0
433,11,0
436,21,0
440,20,0
442,13,0
443,21,0
453,15,0
458,17,0
462,18,0
476,20,0
483,16,0
488,18,0
496,17,0
498,23,0
505,22,0
506,24,0
508,13,0
517,21,0
518,30,0.353336490246
521,18,0
528,28,0
530,16,0
537,30,0
554,22,0
559,12,0
560,21,0
581,15,0.721928094887
582,36,0.792629468609
586,54,1.48157463221
596,34,1.90606667493
599,96,1.59772193511
610,50,0.468995593589
631,92,1.43990028811
638,40,0.384311544126
640,11,0
646,17,0
654,48,0.970273259575
664,24,0.413808201579
666,11,0
668,20,0
676,18,0
684,17,0.640183451181
700,15,0
723,16,0
730,14,0
738,16,0
762,21,0
764,19,0.297467859465
768,14,0
824,12,0.811278124459
830,14,0.371203250795
835,19,0
918,16,0
937,25,0
950,14,0
954,10,0
955,17,0
960,13,0
968,24,0
984,10,0.468995593589
986,15,1.03886323333
988,48,1.36595836046
1027,24,0.899966460132
1057,15,1.42558438539
1118,11,1.49107418877
1162,10,0
1210,11,0
1212,13,0
1234,11,0
1292,10,0
1294,18,0.503258334776
1410,11,0.845344504494
1560,10,0.468995593589
1716,10,0
1722,11,0
1727,17,0.322745193961
1730,11,1.24064789104
1733,10,0
1783,12,0
1808,10,0.721928094887
1816,14,0.371203250795
1821,19,1.26743775886
2042,10,0
2114,36,0.183083596791
2171,63,0.880556528911
2178,18,1.55770165567
2184,22,0.574629645552
2187,10,0
2197,20,0.286396957116
2213,10,0
2238,51,1.43546060392
2352,13,0
2546,11,1.68579061282
2571,49,0.87016654822
2585,14,0.371203250795
2594,10,0
2615,11,0.439469806654
2716,12,2.35537728362
2718,14,0
2726,11,1.78991136312
3045,11,0.684024626691
3245,22,0.439469806654
3305,16,0.337290066617
3319,13,0
3327,12,0
3332,35,0.421988807958
3337,10,0.468995593589
3402,14,0.371203250795
3502,37,0.776964714368
3553,10,0
3591,22,0.699818787216
3678,11,0.439469806654
3723,37,0.303360327475
