	PD_whole_tree	chao1	observed_otus	shannon
1001.skm3	0.03783743024	3236.74418605	2164.0	9.73187081639
1001.skd6	0.0352417518492	3450.57692308	2083.0	9.68813016618
1001.skb3	0.0364463126085	3277.67292225	2097.0	9.63325927783
1001.skd3	0.0349907591451	3235.44510386	2035.0	9.68741950587
1001.skb2	0.0369365943367	3631.25675676	2199.0	9.78925506722
1001.skb1	0.0357370929992	3636.11206897	2169.0	9.76162241098
1001.skm5	0.0347780081534	3209.02702703	1967.0	9.43361627703
1001.skb6	0.0339736451775	3212.0625	2000.0	9.45695776635
1001.skm9	0.0173637725593	1308.33333333	710.0	6.03471029083
1001.skm7	0.0200851954869	1503.98684211	900.0	6.64480421132
1001.skb4	0.0352745086804	3418.53144654	2001.0	9.29591093153
1001.skd7	0.0203790319563	1941.01923077	1039.0	7.25156558716
1001.skd2	0.0328888264314	3201.61904762	1957.0	9.5377691781
1001.skd8	0.0185500704722	1607.21917808	906.0	6.88010803784
1001.skb8	0.0181263873279	1543.42857143	769.0	5.38826467399
1001.skb9	0.019643799048	1712.91970803	905.0	6.58715704529
1001.skb7	0.016088911719	1465.05882353	729.0	6.17405782647
1024.mu002.c3.ha.2.66.rhizo.6.11.g1.l00	0.0442926780994	3923.0741573	2482.0	10.1835572107
1030.tvf.2004.loc3.d10.rep1	0.0265882898055	2493.50243902	1423.0	8.5961286553
1030.tvf.control.loc4.d0.rep5	0.0289568863125	2731.35955056	1634.0	8.57507421005
1030.tvf.2004.loc3.d10.rep2	0.0275985857856	2390.15899582	1483.0	8.73820359056
1030.tvf.control.loc2.d0.rep2	0.0283886497789	2491.85294118	1623.0	8.78071923161
1030.tvf.2010.loc1.d10.rep1	0.0277564454189	2183.75	1435.0	8.72316772354
1030.tvf.control.loc2.d0.rep3	0.0281397453715	2487.8974359	1533.0	8.70595969302
1030.tvf.2010.loc3.d10.rep3	0.0262092586292	2152.8161435	1371.0	8.60999698992
1030.tvf.2004.loc2.d0.rep3	0.0334677455424	3004.3814433	1842.0	9.355469316
1030.tvf.2010.loc3.d10.rep5	0.0282215860398	2404.4573991	1476.0	8.74966268066
1030.tvf.control.loc4.d0.rep3	0.0230018652957	2027.35746606	1291.0	7.88678739877
1030.tvf.2010.loc5.d10.rep4	0.025163816154	2080.51412429	1243.0	8.22885441589
1030.tvf.control.loc4.d0.rep2	0.0271797493334	2495.77966102	1468.0	8.21272446113
1030.tvf.control.loc3.d10.rep2	0.0257566123337	2192.36	1383.0	8.49812645272
1030.tvf.2004.loc2.d0.rep2	0.0343072727409	2994.90740741	1876.0	9.32992178061
1030.tvf.control.loc5.d10.rep1	0.0229323381326	1989.11052632	1226.0	7.79952070271
1030.tvf.control.loc4.d0.rep1	0.0269779113763	2482.85454545	1455.0	8.32456788807
1030.tvf.control.loc5.d10.rep4	0.0181782650153	1482.75206612	897.0	7.44742749474
1030.tvf.2004.loc1.d10.rep1	0.0213594465019	1672.19075145	1096.0	7.99003658334
1030.tvf.2010.loc4.d10.rep4	0.0226381577501	1844.14973262	1169.0	8.2511415146
1030.tvf.2004.loc4.d10.rep5	0.0204936684562	1751.52023121	1109.0	8.00602588821
1030.tvf.2004.loc3.d10.rep3	0.0185850716019	1477.18421053	973.0	7.7681941964
1030.tvf.2004.loc3.d0.rep1	0.0304564358272	2610.71428571	1506.0	8.59557877365
1030.tvf.2004.loc1.d10.rep5	0.0242104750106	1863.56118143	1292.0	8.50454220639
1030.tvf.2004.loc4.d10.rep2	0.0197056041223	1542.0	981.0	7.80410563855
1030.tvf.2010.loc1.d10.rep5	0.0239108487473	1878.975	1230.0	8.32938132373
1030.tvf.2004.loc2.d0.rep5	0.0330501251952	2839.87619048	1858.0	9.38634294284
