	PD_whole_tree	chao1	observed_otus	shannon
1030.TVF.2004.Loc2.D0.Rep3	0.0270440519013	5278.47426471	3486.0	9.81204295112
1030.TVF.2004.Loc4.D0.Rep2	0.020233816118	4118.0026455	2545.0	8.44336639086
1030.TVF.2010.Loc4.D0.Rep4	0.0206929526001	3943.9525	2575.0	8.97399140426
1030.TVF.2004.Loc4.D0.Rep3	0.0165962032433	3409.1	2107.0	7.9597151228
1030.TVF.2004.Loc5.D10.Rep1	0.0167261973578	3132.6	1905.0	7.54086433414
1030.TVF.2004.Loc5.D10.Rep3	0.0175194591102	3209.19713262	1922.0	7.68450612876
1030.TVF.2010.Loc2.D10.Rep1	0.0124135494518	2236.25139665	1402.0	7.20731033176
1030.TVF.2010.Loc3.D0.Rep4	0.0184931885462	3726.32218845	2333.0	8.74891809912
1030.TVF.2010.Loc4.D10.Rep2	0.0149715912505	2765.20622568	1744.0	7.8953835074
1030.TVF.Control.Loc2.D0.Rep3	0.0224437843238	4443.57040573	2875.0	9.12693494226
1030.TVF.2004.Loc1.D0.Rep1	0.0149246872882	2840.875	1844.0	8.15473905582
1030.TVF.2004.Loc1.D10.Rep1	0.0158634547192	2938.11764706	1941.0	8.28106820897
1030.TVF.2004.Loc1.D10.Rep2	0.0155993273129	2778.45519713	1861.0	8.28267567719
1030.TVF.2004.Loc1.D10.Rep3	0.0151091710593	2845.01153846	1855.0	8.27305782066
1030.TVF.2004.Loc1.D10.Rep4	0.0146058262834	2623.0438247	1754.0	8.15769180302
1030.TVF.2004.Loc2.D0.Rep1	0.0238992529029	4695.08275862	2932.0	9.27850730436
1030.TVF.2004.Loc2.D0.Rep2	0.0275759221998	5415.53057554	3565.0	9.78257446036
1030.TVF.2004.Loc2.D0.Rep5	0.0269069174541	5364.70295203	3498.0	9.79581086475
1030.TVF.2004.Loc2.D10.Rep1	0.0172659778603	3310.41522491	2056.0	8.39683264012
1030.TVF.2004.Loc2.D10.Rep2	0.0201700980766	3677.08211144	2344.0	8.80162416919
1030.TVF.2004.Loc2.D10.Rep4	0.0180412136577	3262.87227414	2152.0	8.54092592739
1030.TVF.2004.Loc2.D10.Rep5	0.0211228507572	3818.13404826	2503.0	8.77607330877
1030.TVF.2004.Loc3.D0.Rep1	0.0241724162262	4542.6	2901.0	9.0680135619
1030.TVF.2004.Loc3.D10.Rep1	0.0222594202856	4081.51650943	2692.0	9.01660795813
1030.TVF.2004.Loc4.D10.Rep1	0.0154184075536	2809.11698113	1862.0	7.95172684927
1030.TVF.2004.Loc4.D10.Rep2	0.0166119677013	2990.04832714	1898.0	8.17107190984
1030.TVF.2004.Loc4.D10.Rep3	0.0243071179696	4659.12943633	3058.0	9.35726824771
1030.TVF.2004.Loc5.D0.Rep2	0.0205595388246	3475.86942675	2305.0	8.79212789622
1030.TVF.2004.Loc5.D0.Rep3	0.0240727425088	4731.50113895	2959.0	9.1502869892
1030.TVF.2004.Loc5.D0.Rep4	0.0225503253382	4230.98305085	2582.0	8.45758576728
1030.TVF.2004.Loc5.D0.Rep5	0.0248237508586	4753.45754717	2930.0	9.13968511656
1030.TVF.2004.Loc5.D10.Rep2	0.0148408194317	2448.46	1552.0	7.06587730399
1030.TVF.2004.Loc5.D10.Rep5	0.0158969485975	2784.81545064	1677.0	7.39332881691
1030.TVF.2010.Loc1.D10.Rep4	0.0206947676165	3875.19363395	2494.0	8.84719519911
1030.TVF.2010.Loc4.D10.Rep3	0.0185447665674	3361.96688742	2184.0	8.7361424847
1030.TVF.Control.Loc4.D10.Rep4	0.0117017888731	2087.4084507	1394.0	6.90464702462
1030.TVF.2010.Loc1.D10.Rep1	0.0226393473041	4282.33858268	2736.0	9.12194235211
1030.TVF.2010.Loc4.D0.Rep1	0.019292680885	4091.58739255	2391.0	8.520525545
1030.TVF.2010.Loc4.D0.Rep5	0.0170202758916	3037.91331269	2016.0	8.25315804117
1030.TVF.2010.Loc1.D10.Rep3	0.0200979304737	3644.100271	2407.0	8.88924259367
1030.TVF.2010.Loc3.D10.Rep5	0.0236448249799	4383.1641791	2802.0	9.14399324234
1030.TVF.Control.Loc1.D10.Rep3	0.0104396016353	2053.0617284	1168.0	6.25315728313
1030.TVF.Control.Loc5.D10.Rep3	0.0125070530088	2253.33624454	1466.0	7.27824809074
1030.TVF.2004.Loc3.D10.Rep4	0.016916241435	3124.93406593	1992.0	8.27943238407
1030.TVF.2010.Loc4.D10.Rep4	0.0178141307134	3105.7392638	2118.0	8.57573756109
1030.TVF.2010.Loc5.D0.Rep4	0.0188987473559	3847.9873817	2313.0	8.63151234148
