	chao1	observed_otus	faith_pd	shannon
1734.BD.NBS1055	337.9148936170213	288	33.69785661382001	6.331463595872732
2338.0701.1.M	36.5	36	6.3391702517090005	1.672138305254742
963.Iguana.78.051211.LAB.vial.610	462.3225806451613	309	40.521313110929015	6.322956450426266
1642.MS00384	4027.8125	1947	156.0612252594602	9.416330860930877
1034.CHG4	1076.7610619469026	693	67.50056457559305	7.760216359256091
1674.McG.F110715Ly6R3	2086.1830985915494	1481	109.34922703656555	9.50518055720457
1001.SKD6	1749.8318584070796	1171	84.75211956456658	9.016026305977443
1288.MAH11Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	389.0952380952381	361	40.301776361921014	6.9104907158309565
894.YY968.lane5.NoIndex.L005	730.0104166666666	541	53.998551631439994	7.036123098744751
2192.H07a.Foot.3728.lane6.NoIndex.L006	543.9285714285714	441	45.058287918349976	6.502601119744626
2229.W2.T3.4.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	339.375	280	31.835657278604	5.936990283200651
755.SSFA.L3.D3.10.05.11.lane1.NoIndex.L001	2267.067264573991	1280	123.60049259681558	8.969923852040358
1453.44923SDZ3.A4.Pnem.stom	63.75	50	9.491691401910002	2.996252946325836
662.M22	181.15	146	19.531198035112002	4.69924448132315
1883.2008.423.Crump.Artic.LTREB.main.lane2.NoIndex	3045.435185185185	1735	152.3521939383326	9.956549032743789
1736.O7.0611	1042.3709677419356	716	62.760495928801	7.296648920314188
1288.TBH25July08.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	384.3030303030303	249	34.691110647741006	5.172993671140685
933.T.3.1.H.E.1	964.9333333333334	516	48.84542957867702	6.396663128929768
2229.S2.N1.8.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	614.6428571428571	419	44.83121233138203	5.528967074450381
894.OS1911.lane2.NoIndex.L002	473.8103448275862	327	36.358100675850004	5.8146123809798045
804.H02.072605.R0715	1251.5131578947369	852	85.57881265800603	8.11624486553646
1736.R10.1011	1230.0204081632653	824	71.6350876697318	7.545732880117451
1035.UQ888	249.0	215	22.479719772120994	5.633037647413169
894.GV1880.lane2.NoIndex.L002	577.5142857142857	420	35.970554540281	6.639542706623549
1736.B6.0510	1276.8429752066115	820	67.546553346749	7.852234081263505
990.KA1U.A.04	2009.0714285714284	1110	98.11412802095998	7.0811894938287905
1056.Chl.tru.Mend.1	112.3	97	13.923209908	4.955115177470698
1642.MS00561	3915.232876712329	1977	167.23700761547013	9.810317822933904
1883.2009.045.Crump.Artic.LTREB.main.lane3.NoIndex	3499.3646408839777	1294	143.05173424728991	7.43183745746023
2229.W2.T21.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	190.57142857142856	143	19.784402552200987	4.851465274016567
958.N.16	133.8125	118	17.840739226410005	4.989039438322035
1235.sp1540	173.0	98	13.799843232470002	4.479804546141293
1632.E6H04.r.EMPbird.v4.NoIndex.L001	39.0	24	7.0416030677500006	2.2930418792472977
2382.SH008.C6.HA.4.741.bulk.9.12.lane7.NoIndex.L007.sequences	3431.635179153094	1762	138.56649666813968	9.770471134169723
1774.7.Oral.Puer	82.0	67	11.310730104879998	3.670783376328975
894.YY1571.lane5.NoIndex.L005	1075.5441176470588	761	71.7046306989505	7.633524176513629
1883.2001.14.Crump.Artic.LTREB.main.lane1.NoIndex	399.3095238095238	293	35.241369003896025	6.123798831881426
1579.D.2.0	1635.0127118644068	1158	74.32276777054308	9.016917077428259
1632.E1C12.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	398.1923076923077	363	30.7959285370776	6.196958036936553
550.L2S263.s.2.sequence	328.05172413793105	259	25.454201416909992	5.3022667235142595
1289.KH23	2156.8173076923076	1186	92.77847237985657	8.721987706973147
1222.B6.5.8.06	224.4736842105263	160	18.68503381479	5.100967816814036
723.AcidLow1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	420.27777777777777	304	39.97079503726802	6.209304304485222
2192.H01a.Foot.158.lane2.NoIndex.L002	403.33333333333337	274	30.219100295810087	5.74888022391424
933.W.2.3.S.E.3	285.75757575757575	190	23.41234184498299	4.316063159541351
990.KA1F.A.15	2584.6296296296296	1438	114.88411671683265	9.304380681036738
2182.CPZX24A	462.7974683544304	395	37.123391164767995	6.36783876798478
804.3873.1233B	1096.0	955	87.73803306396557	8.91021722991589
550.L2S54.s.2.sequence	161.5263157894737	132	14.808057135250001	3.954913553280428
1579.MW.1.15	1913.6857142857143	1079	93.5020350436156	8.48135762396678
1642.MS00487	3589.1964809384162	1890	166.4346743788836	9.9622132599571
1694.St3A3.r.EMPbird.v4.NoIndex.L001	746.5365853658536	484	40.641978159010996	6.1830924536932415
945.P6.E12.lane2.NoIndex.L002	448.3658536585366	280	43.7805098471113	5.694035208923024
1288.NSBE03July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	166.63636363636363	153	18.030019445801	5.255153700815688
894.YY1157.lane5.NoIndex.L005	246.2	207	21.122700963509992	5.766838656315682
722.CL3.1.s.1.1.sequence	1979.0384615384614	1241	96.72508431052346	8.787071867267096
933.N.1.1.H.E.4	217.3125	162	23.33286484400699	4.936360713143068
1883.2007.088.Crump.Artic.LTREB.main.lane1.NoIndex	1160.7534246575342	534	56.41613196189502	5.867705417276547
1883.2001.005.Crump.Artic.LTREB.main.lane1.NoIndex	3843.9918032786886	1574	158.9239849806575	8.73921073987206
550.L2S378.s.2.sequence	523.2619047619048	392	36.54820043660001	5.464936060190306
550.L4S260.s.4.sequence	537.2127659574468	312	30.786581952939997	4.949854712011141
550.L1S151.s.1.sequence	181.1875	144	17.219231938548997	5.000711070929234
1288.SSB07jul09E.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	399.0	240	33.885075724516	5.287731898830028
2080.S79D5	227.05	184	23.19082888442	5.395312778250673
1883.2011.408.Crump.Artic.LTREB.main.lane4.NoIndex	431.47727272727275	330	37.9057268107258	6.456191921152559
894.OS625.lane3.NoIndex.L003	414.61538461538464	329	27.761827828525004	5.762138827636148
894.OS1206.lane5.NoIndex.L005	1149.352564102564	816	67.07708686679702	7.958598982697467
550.L1S292.s.1.sequence	174.4	130	13.41355317576	4.158427965480623
1748.5.18.12.R.25.V	153.13636363636363	132	17.962604372299996	4.9228803954060405
2229.S2.N13.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	936.625	575	58.164380070203	6.843339295048525
990.KA2U.C.14	2534.90625	1281	105.51810056262758	8.216080594089577
2192.H05b.Front.Door.Knob.2525.lane5.NoIndex.L005	439.1857142857143	332	36.00850725543	5.533852442916672
1883.2011.38.Crump.Artic.LTREB.main.lane4.NoIndex	4227.816155988858	1937	222.73473203595262	9.339704820491898
659.NZFACE.R6.control	1497.5925925925926	755	61.975893466767594	6.913889387311331
894.YY1185.lane5.NoIndex.L005	982.3089887640449	766	60.73966771410671	7.61636785500722
550.L4S75.s.4.sequence	934.8125	530	48.348647268270994	6.484694565611912
550.L6S320.s.6.sequence	56.5	53	10.34609649257	3.860079971267751
2192.H03a.Kitchen.Floor.1298.lane5.NoIndex.L005	1239.139344262295	652	60.83726589347861	6.209782609259711
1197.SE.20101008.GY.LBNL11.BC.186	2595.1794871794873	1468	132.37723930609764	9.314493468225837
1288.NSBE11June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	121.04347826086956	108	15.885261807391002	4.098038497920794
2229.S2.T21.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	283.7857142857143	200	25.85879305129099	5.239230553117117
1774.59Nasal24.10.09	214.9375	184	19.36621925018	3.418230979358676
1642.MS00262	4163.960297766749	2177	194.4290685381282	10.47567423945021
2192.H07b.Kitchen.Light.Switch.4059.lane2.NoIndex.L002	84.66666666666667	53	9.91419132137	1.673086299475443
894.OR419.lane3.NoIndex.L003	278.030303030303	209	21.211044917419994	5.632183314866856
945.P5.F3.lane2.NoIndex.L002	455.2452830188679	325	42.93402517158701	5.73149243229153
2080.S30D60	345.92	299	35.44808213307002	5.6657479857064095
1883.2009.317.Crump.Artic.LTREB.main.lane3.NoIndex	698.6451612903226	476	55.59260000582902	5.889510889333121
990.KA2F.C.05	2413.326530612245	1386	105.56221881173757	9.215908469297908
550.L5S109.s.5.sequence	79.15384615384616	77	11.48970924402	3.4671365362788387
1717.KBC6.experimental.plot	1290.5241635687732	1020	68.24648874565706	8.429008637554087
2192.H05b.Bathroom.Door.Knob.2670.lane5.NoIndex.L005	388.2564102564103	199	27.098974948891005	2.5717008371326884
1632.E6D09.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	24.0	19	4.17885949621	1.041438873177281
1774.30Fecal23.10.09	212.03846153846155	163	23.13088828826	4.403245011977552
2192.H06b.Hand.3277.lane6.NoIndex.L006	896.4833333333333	540	47.295041035795506	4.796569975079497
945.P7.B8.lane2.NoIndex.L002	595.3684210526316	428	47.88592685422602	6.319328883916927
894.YY1825.lane2.NoIndex.L002	637.2631578947369	510	52.51632722411	6.994676168269881
1526.Stillton8R3	1206.503355704698	822	65.6188636459796	7.946551398379838
1883.2004.147.Crump.Artic.LTREB.main.lane1.NoIndex	320.83720930232556	251	33.9253138000548	5.860035799368533
1883.2008.275.Crump.Artic.LTREB.main.lane2.NoIndex	1923.560606060606	1093	115.7728414052379	8.403360630625262
804.LS11.72a	108.21428571428572	75	13.922510171667001	2.240613328522669
776.SC.C.T1B	252.05555555555554	147	19.217165034220006	4.022804388440809
2229.W2.N1.6.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	354.8	227	27.789593061549997	5.4028171570467896
1883.2011.108.Crump.Artic.LTREB.main.lane3.NoIndex	385.94444444444446	305	36.52995540050083	6.041874689280111
1883.2007.262.Crump.Artic.LTREB.main.lane2.NoIndex	1215.6788321167883	744	68.70393739391001	7.334016092129781
638.ELB18.111810.2	1003.5819672131147	611	62.386597698737596	6.082341400228289
894.MR245.lane3.NoIndex.L003	475.5833333333333	392	42.300559049743995	6.2563313567015255
755.SSFA.L1.D40.18.10.11.lane1.NoIndex.L001	1747.0613207547171	1113	107.91096045327757	8.609171515082739
1632.E4E02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences	24.2	24	3.6217419207700003	2.4533760381836793
2229.W1.T22.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	345.1818181818182	247	31.024471996680003	5.127977115694527
1692.Biofilm.B.E2.2.C.2012	647.8732394366198	426	46.93975263945398	6.4859482305723
1883.2004.027.Crump.Artic.LTREB.main.lane1.NoIndex	1005.873417721519	522	71.4643857979757	6.332700424654187
807.W.S.12.b	2090.141592920354	1252	113.87311190010361	8.955123303135942
1642.MS00458	4357.346666666666	2154	180.26789963898813	10.401158107682829
958.O.10	173.55555555555554	154	21.38157962584	4.798962293825855
1716.McG.PAPrS24	1400.4634146341464	1114	82.44087526500007	8.828758692949641
755.SSFA.L2.D30.24.08.11.lane1.NoIndex.L001	1981.2048192771085	1245	112.04350181162759	8.823781540473178
945.P3.D7.lane2.NoIndex.L002	317.0526315789474	242	32.15122567424801	3.053486134321838
1240.0710B	230.1818181818182	171	27.058647168569994	4.917131937379863
755.LSSF.ALPHA.D1.30.06.11.lane1.NoIndex.L001	615.4285714285714	382	39.0304197941276	5.550065603126888
1064.H.CJV198	27.0	27	5.1561574421000005	3.1476005316070146
1883.2008.315.Crump.Artic.LTREB.main.lane2.NoIndex	1220.127659574468	777	79.811094752017	7.55380574542495
2192.H01a.Kitchen.Counter.1.lane1.NoIndex.L001	658.4181818181819	372	39.893323591140096	5.698374037860251
2229.S2.N12.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	344.02173913043475	249	31.085533444625593	5.168828095034779
1694.St4B2.Pmoss.Jstar.16s.NoIndex.sequences	244.1818181818182	238	28.027383455549995	6.494987329773343
1883.2011.068.Crump.Artic.LTREB.main.lane3.NoIndex	2612.9392971246007	1408	163.76434750484256	8.22111490239439
1883.2007.302.Crump.Artic.LTREB.main.lane2.NoIndex	514.8888888888889	362	44.94254014842801	6.550002390309729
1030.TVF.Control.Loc2.D0.Rep2	1541.0696202531644	913	73.06897123167847	7.911270644664527
1883.2008.287.Crump.Artic.LTREB.main.lane2.NoIndex	888.5632183908046	545	50.25404307570301	6.899513744097626
550.L6S275.s.6.sequence	66.25	58	10.9318150938	3.643514209292759
2192.H02a.Nose.777.lane6.NoIndex.L006	436.8	169	19.316740616729998	2.8467887140242425
1883.2008.524.Crump.Artic.LTREB.main.lane3.NoIndex	623.7727272727273	349	42.77545555536103	6.115914397328218
1288.NSB02jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	506.82608695652175	283	40.531702514067	4.484428362902716
1883.2002.138.Crump.Artic.LTREB.main.lane1.NoIndex	586.6923076923076	366	45.18410856662701	6.435004949390239
894.MR297.lane3.NoIndex.L003	1102.5503355704698	760	56.075936043129	7.214231956127571
722.AQC4cm.5.s.6.1.sequence	1496.6315789473683	569	67.750369730223	3.895648331078055
1035.UQ11012	271.39130434782606	247	23.341952663664	6.415171662930812
2229.T.B.I.2.SE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	270.48387096774195	197	26.850910835502997	4.282691574348114
1035.UQ857	392.1224489795918	337	35.141117187219	6.351466724564684
933.T.3.3.S.E.3	411.4666666666667	308	38.56698411871102	6.350638274976138
1642.MS00045	3903.53125	2055	178.19547445180658	10.314385225342246
1736.O9.0711	1160.6535947712418	795	66.67063181509498	7.654943063542616
678.OA.mesocosm.411	2512.018633540373	1120	113.82493380983162	7.879349332726915
1736.B12.0609	1032.111111111111	658	52.706081669209	7.294387937774542
550.L5S147.s.5.sequence	50.0	49	8.85708257586	3.6557226423098443
1222.B2.5.18.06	141.4736842105263	123	17.783515671589996	4.5419644903865946
2229.S1.T21.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	216.71875	172	22.366135633039995	4.649010706239516
550.L5S284.s.5.sequence	49.142857142857146	49	9.854677397169997	4.219588222785959
2192.H01a.Foot.62.lane1.NoIndex.L001	555.2786885245902	317	35.99088897367	3.7619264654448434
2192.H01a.Nose.330.lane6.NoIndex.L006	254.125	129	17.86876530326	3.0679864792876823
1883.2004.215.Crump.Artic.LTREB.main.lane1.NoIndex	1436.0252100840335	686	82.40372766446855	6.2914796209727415
933.W.2.1.H.E.1	762.448275862069	536	58.007364863756024	7.170626141035357
1288.NSB26aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	389.25	263	33.81283337355701	5.84242884346024
1288.NSBE30May07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	125.8	124	16.321004260171005	5.009604233571411
