#Sample	Metric	NSTI
1001.SKM3	Weighted NSTI	0.165491087934
1001.SKD6	Weighted NSTI	0.145284679049
1001.SKM1	Weighted NSTI	0.148977847632
1001.SKM2	Weighted NSTI	0.15192103574
1001.SKB3	Weighted NSTI	0.156465726117
1001.SKD3	Weighted NSTI	0.149875569918
1001.SKB5	Weighted NSTI	0.13753191084
1001.SKB2	Weighted NSTI	0.15744949827
1001.SKB1	Weighted NSTI	0.151852145977
1001.SKM5	Weighted NSTI	0.154333658084
1001.SKB6	Weighted NSTI	0.128367741866
1001.SKD9	Weighted NSTI	0.0893917868162
1001.SKM9	Weighted NSTI	0.0824094242173
1001.SKM7	Weighted NSTI	0.0945341830552
1001.SKM8	Weighted NSTI	0.0955644766403
1001.SKM4	Weighted NSTI	0.143131320002
1001.SKB4	Weighted NSTI	0.136567651858
1001.SKD7	Weighted NSTI	0.0975805967199
1001.SKD2	Weighted NSTI	0.139774167237
1001.SKD8	Weighted NSTI	0.0827418865249
1001.SKB8	Weighted NSTI	0.0628199047857
1001.SKB9	Weighted NSTI	0.0953036992124
1001.SKB7	Weighted NSTI	0.0737075862313
1001.SKD1	Weighted NSTI	0.30794
1001.SKM6	Weighted NSTI	0.17363
1001.SKD4	Weighted NSTI	0.35993
1024.SH005.C3.RH.1.252.rhizo.9.11.G1.L00	Weighted NSTI	0.220690161797
1024.SH007.C6.RH.4.93.bulk.6.11.G1.L00	Weighted NSTI	0.189033813615
1024.MU002.C3.HA.1.277.r1.rhizo.9.11.G1.L00	Weighted NSTI	0.227485697374
1024.SH004.C1.RH.2.207.rhizo.9.11.G1.L00	Weighted NSTI	0.207341199075
1024.RU006.C181.RH.3.386.bulk.9.11.G1.L00	Weighted NSTI	0.179909741071
1024.SH004.C1.RH.2.6.rhizo.6.11.G1.L00	Weighted NSTI	0.232268186966
1024.DPOO1.C1.HA.4.241.bulk.9.11.G1.L00	Weighted NSTI	0.216747805377
1024.SH008.C6.HA.4.541.bulk.4.12.G1.L00	Weighted NSTI	0.208105774177
1024.SH007.C6.RH.2.306.bulk.9.11.G1.L00	Weighted NSTI	0.209007596032
1024.SH008.C6.HA.3.109.bulk.6.11.G1.L00	Weighted NSTI	0.207208392239
1024.SH005.C3.RH.4.267.rhizo.9.11.G1.L00	Weighted NSTI	0.209561368559
1024.SH008.C6.HA.5.118.rhizo.6.11.G1.L00	Weighted NSTI	0.197336619466
1024.SH005.C3.RH.5.271.bulk.9.11.G1.L00	Weighted NSTI	0.209580640579
1024.SH004.C1.RH.2.206.bulk.9.11.G1.L00	Weighted NSTI	0.213172838218
1024.SH007.C6.RH.1.301.bulk.9.11.G1.L00	Weighted NSTI	0.207866241257
1024.RU006.C181.RH.4.391.bulk.9.11.G1.L00	Weighted NSTI	0.189381721641
1024.SH004.C1.RH.4.13.bulk.6.11.G1.L00	Weighted NSTI	0.197660496894
1024.MU002.C3.HA.4.292.rhizo.9.11.G1.L00	Weighted NSTI	0.217417907421
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00	Weighted NSTI	0.20812981385
1024.SH007.C6.RH.5.321.bulk.9.11.G1.L00	Weighted NSTI	0.196204111132
1024.SH007.C6.RH.5.97.bulk.6.11.G1.L00	Weighted NSTI	0.202732047669
1024.SH005.C3.RH.2.257.rhizo.9.11.G1.L00	Weighted NSTI	0.225793056247
1024.MU002.C3.HA.3.70.rhizo.6.11.G1.L00	Weighted NSTI	0.225909182277
1024.SH008.C6.HA.5.346.bulk.9.11.G1.L00	Weighted NSTI	0.208459260067
1024.DPOO1.C1.HA.2.231.bulk.9.11.G1.L00	Weighted NSTI	0.218904323942
1024.SH004.C1.RH.1.201.bulk.9.11.G1.L00	Weighted NSTI	0.206312141773
1024.SH007.C6.RH.3.311.root.9.11.G1.L00	Weighted NSTI	0.205028836807
1024.MU002.C3.HA.4.74.rhizo.6.11.G1.L00	Weighted NSTI	0.207619975055
1024.SH004.C1.RH.4.216.bulk.9.11.G1.L00	Weighted NSTI	0.211440974533
1024.SH005.C3.RH.3.261.bulk.9.11.G1.L00	Weighted NSTI	0.203208924745
1024.MU002.C3.HA.2.282.rhizo.9.11.G1.L00	Weighted NSTI	0.218772036399
1024.SH005.C3.RH.1.41.bulk.6.11.G1.L00	Weighted NSTI	0.207207012576
1024.SH008.C6.HA.4.113.bulk.6.11.G1.L00	Weighted NSTI	0.194867863104
1024.SH007.C6.RH.4.316.bulk.9.11.G1.L00	Weighted NSTI	0.199624231616
1024.SH005.C3.RH.1.251.bulk.9.11.G1.L00	Weighted NSTI	0.195468006468
1024.SH005.C3.RH.4.266.bulk.9.11.G1.L00	Weighted NSTI	0.208887512959
1024.DPOO1.C1.HA.4.446.bulk.4.12.G1.L00	Weighted NSTI	0.226138556197
1024.SH008.C6.HA.3.336.bulk.9.11.G1.L00	Weighted NSTI	0.198917445064
1024.SH004.C1.RH.3.212.rhizo.9.11.G1.L00	Weighted NSTI	0.207847318511
1024.SH008.C6.HA.5.117.bulk.6.11.G1.L00	Weighted NSTI	0.205450725577
1024.SH007.C6.RH.1.302.rhizo.9.11.G1.L00	Weighted NSTI	0.214130919106
1024.SH004.C1.RH.5.221.bulk.9.11.G1.L00	Weighted NSTI	0.213195956903
1024.SH005.C3.RH.1.42.rhizo.6.11.G1.L00	Weighted NSTI	0.229827543196
1024.SH008.C6.HA.2.332.rhizo.9.11.G1.L00	Weighted NSTI	0.202297040511
1024.SH007.C6.RH.5.98.rhizo.6.11.G1.L00	Weighted NSTI	0.220582745889
1024.DPOO1.C1.HA.1.21.bulk.6.11.G1.L00	Weighted NSTI	0.210457434526
1024.DPOO1.C1.HA.5.246.bulk.9.11.G1.L00	Weighted NSTI	0.2107528869
1024.SH008.C6.HA.4.342.rhizo.9.11.G1.L00	Weighted NSTI	0.224797382475
1024.SH005.C3.RH.5.57.bulk.6.11.G1.L00	Weighted NSTI	0.196513734337
1024.SH008.C6.HA.1.326.bulk.9.11.G1.L00	Weighted NSTI	0.21409850259
1024.RU006.C181.RH.1.576.bulk.4.12.G1.L00	Weighted NSTI	0.194506888132
1024.SH008.C6.HA.2.106.rhizo.6.11.G1.L00	Weighted NSTI	0.220668919412
1024.SH007.C6.RH.3.312.rhizo.9.11.G1.L00	Weighted NSTI	0.224974345503
1024.RU006.C181.RH.3.586.bulk.4.12.G1.L00	Weighted NSTI	0.203678275488
1024.DPOO1.C1.HA.3.236.bulk.9.11.G1.L00	Weighted NSTI	0.219011826158
1024.SH008.C6.HA.3.536.bulk.4.12.G1.L00	Weighted NSTI	0.205051486142
1024.DPOO1.C1.HA.1.426.bulk.4.12.G1.L00	Weighted NSTI	0.22076623604
1024.RU006.C181.RH.1.376.bulk.9.11.G1.L00	Weighted NSTI	0.187079172031
1024.SH007.C6.RH.1.82.rhizo.6.11.G1.L00	Weighted NSTI	0.194576742172
