	column_name	effect_size	effect_size_square	effect_size_values	pval_corrected	pval
1	study_id	6.426619317588362	41.301435853199905	990 vs. 804	0.0028925619834710746	0.000999000999000999
1	host_scientific_name	4.01889210095704	16.151493719134894	Syncerus caffer caffer vs. Vombatidae	0.0028925619834710746	0.000999000999000999
1	empo_3	3.5844890478455986	12.848561734125047	Soil (non-saline) vs. Animal corpus	0.0028925619834710746	0.000999000999000999
1	envo_biome_3	2.90136459790539	8.417916529978706	mixed forest biome vs. marine benthic biome	0.0028925619834710746	0.000999000999000999
1	nitrate_umol_per_l	0.9664191204459107	0.9339659163634477	0.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
1	salinity_psu	0.4996626256425788	0.24966273946403583	3.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
1	ph	0.4461566841927875	0.1990557868499027	1.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	temperature_deg_c	0.39724341949698544	0.15780233433365795	0.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	latitude_deg	0.25562111000307486	0.0653421518792041	3.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
1	longitude_deg	0.20686353202808686	0.042792520883135315	1.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	oxygen_mg_per_l	0.12262529499037507	0.015036962971476504	0.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
