	column_name	effect_size	effect_size_square	effect_size_values	pval_corrected	pval
1	study_id	6.782114138605289	45.99707218906976	990 vs. 722	0.0028925619834710746	0.000999000999000999
1	host_scientific_name	4.821932059869622	23.251028789998493	Bos taurus vs. Iguana iguana	0.0028925619834710746	0.000999000999000999
1	empo_3	2.237835468224222	5.007907582842323	Animal proximal gut vs. Plant rhizosphere	0.0028925619834710746	0.000999000999000999
1	envo_biome_3	1.8765934540598945	3.5216029918204454	subtropical shrubland biome vs. broadleaf forest biome	0.0028925619834710746	0.000999000999000999
1	ph	1.1692492376298926	1.3671437796980852	1.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	nitrate_umol_per_l	0.8130850595973637	0.6611073141404484	0.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
1	latitude_deg	0.6438126096585415	0.4144946763553415	1.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	temperature_deg_c	0.5650653096803735	0.3192988042041764	3.0 vs. 2.0	0.0028925619834710746	0.000999000999000999
1	salinity_psu	0.5331757994985825	0.28427643317095264	0.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
1	longitude_deg	0.32695560973301485	0.10689997073588751	0.0 vs. 1.0	0.0028925619834710746	0.000999000999000999
1	oxygen_mg_per_l	0.08899654785312983	0.007920385529774428	1.0 vs. 3.0	0.0028925619834710746	0.000999000999000999
