	column_name	effect_size	effect_size_square	effect_size_values	pval_corrected	pval
1	study_id	14.779652683217304	218.43813343653244	1674 vs. 1064	0.004132231404958678	3.7742577132121365e-64
1	host_scientific_name	8.944691721079103	80.00750998514104	Phyllospora comosa vs. Oryza sativa	0.004132231404958678	2.542446121573698e-208
1	empo_3	4.692188565878387	22.01663353775987	Plant surface vs. Sediment (non-saline)	0.004132231404958678	5.699098378763233e-253
1	envo_biome_3	4.277554809089446	18.29747514476425	subtropical shrubland biome vs. tropical shrubland biome	0.004132231404958678	9.858088581805957e-66
1	salinity_psu	2.877330935514279	8.279033312467476	8.0 vs. 3.0	0.004132231404958678	8.099740573272196e-19
1	latitude_deg	1.5721765166817396	2.4717389996055283	4.0 vs. 5.0	0.004132231404958678	3.759347213097343e-172
1	temperature_deg_c	1.072591354750012	1.1504522142844664	3.0 vs. 9.0	0.004132231404958678	6.339450619241631e-83
1	longitude_deg	1.0364562812135973	1.0742416228671197	4.0 vs. 9.0	0.004132231404958678	3.9476660258022957e-113
1	ph	0.9571134916365239	0.9160662358726583	1.0 vs. 9.0	0.004132231404958678	2.391416388042482e-41
1	nitrate_umol_per_l	0.863876062678477	0.7462818516688681	1.0 vs. 9.0	0.004132231404958678	9.822761151823509e-16
