,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
f__MSP41(25),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9533333333333333,0.0,0.0
f__MSBL1(69),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002898550724637681,0.004830917874396135,0.38250134192163177,0.06400966183574879,0.0,0.014492753623188406,0.0,0.0010735373054213634,0.0,0.0,0.5301932367149758,0.0,0.0
f__TMEG(39),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124542124542125,0.27564102564102566,0.0,0.0,0.0,0.005494505494505494,0.00641025641025641,0.0,0.0,0.0,0.0
f__Dethiosulfovibrionaceae(31),0.044071873231465754,0.0016977928692699488,0.08382852292020374,0.5181663837011884,0.18387096774193548,0.0,0.0016977928692699488,0.0,0.0,0.0,0.06451612903225806,0.005376344086021504,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
f__p-2534-18B5(25),0.0,0.0,0.0,0.5516666666666667,0.3210606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08727272727272727,0.02,0.0,0.0,0.0,0.0,0.0
f__Anaeroplasmataceae(93),0.016129032258064516,0.005376344086021506,0.010752688172043012,0.0,0.33600870455709164,0.0,0.0,0.35035842293906805,0.2195340501792115,0.0,0.0,0.0,0.0,0.010752688172043012,0.05108806963645674,0.0,0.0,0.0,0.0,0.0
f__Gloeobacteraceae(41),0.0,0.0,0.0,0.0,0.0,0.02439024390243903,0.0,0.0,0.029011807975222615,0.0629212420370957,0.026607538802660757,0.8187713370640202,0.0025043554006968644,0.0,0.03579347481786507,0.0,0.0,0.0,0.0,0.0
f__SM1B02(12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f__Cardiobacteriaceae(12),0.30988186462324396,0.02830459770114943,0.4253991060025542,0.1574074074074074,0.010696040868454661,0.0,0.007040229885057471,0.0,0.0,0.0,0.010057471264367818,0.04144316730523627,0.0,0.004166666666666667,0.005603448275862069,0.0,0.0,0.0,0.0,0.0
f__Desulfohalobiaceae(27),0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0026455026455026454,0.0,0.0,0.009259259259259259,0.5475308641975309,0.037037037037037035,0.0,0.0,0.0,0.007407407407407408,0.0,0.3934744268077601,0.0,0.0
f__Halobacteroidaceae(24),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5590277777777778,0.0,0.00462962962962963,0.0,0.0,0.01851851851851852,0.0,0.417824074074074,0.0,0.0
f__Halanaerobiaceae(38),0.07894736842105263,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.013157894736842105,0.02850877192982456,0.43941102756892236,0.0,0.0,0.03289473684210526,0.0,0.0,0.0,0.393922305764411,0.0,0.0
f__Halobacteriaceae(313),0.016564406041243103,0.003194888178913738,0.021479399195054146,0.003194888178913738,0.0,0.0,0.0026211740868290383,0.0,0.005846316888649157,0.00045641259698767686,0.40050839292053353,0.06273105887722501,0.00873269435569755,0.0,0.007371063441350982,0.004259850905218317,0.0,0.46303945433338417,0.0,0.0
f__20c-4(12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.5375,0.0,0.0
f__Marine group II(60),0.003333333333333334,0.0,0.0,0.0011111111111111113,0.0,0.0008333333333333335,0.0,0.0,0.0,0.0019444444444444446,0.002067669172932331,0.015000000000000003,0.0,0.00041666666666666675,0.002916666666666667,0.9719601086048455,0.0,0.00041666666666666675,0.0,0.0
f__AEGEAN_112(20),0.0125,0.0,0.0,0.0,0.0,0.0027777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.03263888888888889,0.9020833333333333,0.0,0.0,0.0,0.0
f__Marine group III(20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05384615384615384,0.9461538461538461,0.0,0.0,0.0,0.0
