,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
g__SAGMEG-1(28),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071428571428571435,0.011904761904761904,0.9425925925925925,0.0,0.0,0.03571428571428571,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.0
g__DL1A-100(17),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
g__Wolbachia(18),0.05555555555555555,0.0,0.5555555555555556,0.0,0.0,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.013888888888888888,0.0,0.125,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
g__SHD-231(21),0.011904761904761902,0.0,0.08730158730158728,0.0,0.3265306122448979,0.0,0.0,0.0,0.04761904761904761,0.04449254449254449,0.35161135161135154,0.018707482993197275,0.05627705627705627,0.03174603174603174,0.0,0.023809523809523805,0.0,0.0,0.0,0.0
g__Thermus(12),0.02500000000000001,0.0027777777777777783,0.01666666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666669,0.0,0.0,0.8083333333333333,0.01666666666666667,0.005555555555555557,0.0,0.03333333333333334,0.0,0.0,0.0,0.0
g__Gloeobacter(41),0.0,0.0,0.0,0.0,0.0,0.02439024390243903,0.0,0.0,0.029011807975222615,0.0629212420370957,0.026607538802660757,0.8187713370640202,0.0025043554006968644,0.0,0.03579347481786507,0.0,0.0,0.0,0.0,0.0
g__SGSH944(50),0.0020000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809525,0.0,0.008869565217391306,0.0,0.0,0.04086956521739132,0.9473084886128365,0.0,0.0,0.0,0.0
g__SargSea-WGS(20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.06643939393939394,0.9235606060606061,0.0,0.0,0.0,0.0
g__ZA3312c(11),0.0,0.004132231404958679,0.018181818181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0036363636363636372,0.03393939393939394,0.004132231404958679,0.0,0.0,0.01322314049586777,0.904573002754821,0.0,0.018181818181818184,0.0,0.0
g__MB11C04(16),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.004166666666666667,0.0,0.0,0.021875,0.9114583333333334,0.0,0.0,0.0,0.0
g__Sporomusa(22),0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.011363636363636364,0.7612577386770935,0.03167155425219941,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.09343434343434344,0.0,0.0,0.0,0.0,0.0
g__Simkania(31),0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.017921146953405017,0.04952753339850115,0.07519899455383328,0.05529953917050691,0.025089605734767022,0.03372434017595308,0.0,0.6635711958292604,0.047409579667644176,0.0,0.0,0.0,0.0
g__Pseudoruegeria(14),0.0,0.0011160714285714285,0.0005580357142857143,0.4488555510695753,0.07601075201207241,0.24994415506195056,0.0,0.0,0.0024377349624060147,0.0,0.005227913533834586,0.0015640719315895373,0.1997767857142857,0.0,0.0,0.01450892857142857,0.0,0.0,0.0,0.0
g__Clostridium(11),0.09892744976778589,0.0018552875695732837,0.03542629172881274,0.14716795809232783,0.08217832587580487,0.0,0.07025537487722361,0.0,0.004010695187165775,0.011131725417439701,0.022727272727272728,0.20030739568554692,0.0,0.012468623813161626,0.15120593692022263,0.16233766233766234,0.0,0.0,0.0,0.0
g__Persicirhabdus(38),0.0,0.007295621998139159,0.0,0.6426137459032195,0.0781265664160401,0.0447570850202429,0.0,0.0,0.0004511278195488722,0.0,0.05814054366685946,0.0,0.12677879900419944,0.026785714285714284,0.0,0.015050795886036156,0.0,0.0,0.0,0.0
