,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
o__Rhodophyta(31),0.0,0.0,0.0,0.013859251376849466,0.008064516129032258,0.680046198420135,0.0,0.0,0.0016730937952704494,0.025458570524984188,0.0010405827263267429,0.06261859582542693,0.14516129032258066,0.0,0.01265022137887413,0.04942767950052029,0.0,0.0,0.0,0.0
o__UA01(18),0.0,0.0,0.0,0.08938669852648345,0.0,0.5406638065240215,0.0,0.0,0.0,0.033333333333333326,0.0,0.07407407407407406,0.22466329966329968,0.0,0.0,0.03787878787878787,0.0,0.0,0.0,0.0
o__Gemellales(16),0.028720238095238104,0.0038690476190476183,0.15773809523809523,0.025595238095238095,0.0020833333333333337,0.00029761904761904765,0.0,0.0,0.00029761904761904765,0.0005952380952380953,0.0011904761904761906,0.011607142857142856,0.0,0.7650297619047619,0.0017857142857142859,0.0011904761904761906,0.0,0.0,0.0,0.0
o__Cardiobacteriales(15),0.3279054916985952,0.022643678160919545,0.3803192848020434,0.12592592592592594,0.00855683269476373,0.03333333333333333,0.005632183908045977,0.0,0.0,0.0,0.041379310344827586,0.04648786717752236,0.0,0.0033333333333333335,0.004482758620689655,0.0,0.0,0.0,0.0,0.0
o__Thiobacterales(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.2121212121212121,0.0,0.09090909090909091,0.0,0.09090909090909091,0.06926406926406926,0.3246753246753247,0.0,0.0,0.0,0.0
o__Gloeobacterales(41),0.0,0.0,0.0,0.0,0.0,0.02439024390243903,0.0,0.0,0.029011807975222615,0.0629212420370957,0.026607538802660757,0.8187713370640202,0.0025043554006968644,0.0,0.03579347481786507,0.0,0.0,0.0,0.0,0.0
o__Thermodesulfobacteriales(13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o__[Chloroherpetales](18),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o__Thermoanaerobacterales(16),0.046875,0.09375,0.125,0.0,0.0,0.0,0.046875,0.0,0.1875,0.03125,0.1875,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o__Anaeroplasmatales(93),0.016129032258064516,0.005376344086021506,0.010752688172043012,0.0,0.33600870455709164,0.0,0.0,0.35035842293906805,0.2195340501792115,0.0,0.0,0.0,0.0,0.010752688172043012,0.05108806963645674,0.0,0.0,0.0,0.0,0.0
