,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
p__NPL-UPA2(13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p__ZB3(30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.12222222222222222,0.0,0.09111111111111111,0.0,0.08666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0
p__SAR406(287),0.00034843205574912887,0.0007390983000739096,0.0006968641114982577,0.0,0.0,0.0,0.0,0.0,0.0,0.0006537249045959847,0.20073261825055222,0.0027172191541226533,0.039658627678713754,0.006968641114982577,0.04064879976863009,0.6771031059038224,0.0,0.029732868757258994,0.0,0.0
p__OP1(55),0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.2127272727272727,0.03636363636363636,0.03636363636363636,0.0,0.045454545454545456,0.07272727272727272,0.0,0.44181818181818183,0.0,0.0
p__Thermotogae(12),0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
p__Synergistetes(62),0.038164968873797396,0.0008488964346349745,0.09836587436332768,0.3074702886247878,0.2854838709677419,0.0,0.0008488964346349745,0.0,0.008064516129032258,0.0,0.08064516129032258,0.0026881720430107525,0.0,0.14516129032258066,0.0,0.03225806451612903,0.0,0.0,0.0,0.0
p__Firmicutes(11223),0.07968154526643241,0.014498219466424928,0.037089701040785794,0.10428534585939558,0.2957751057652359,0.0015469098396925722,0.012367536592213353,0.057978462811277554,0.04231969566545295,0.022961260479282715,0.04540852414636339,0.04166710735530948,0.01857464964706209,0.15331971401917027,0.055935184800191586,0.013213993041803667,0.0,0.0033770442039055474,0.0,0.0
p__Tenericutes(796),0.04154268556552575,0.005474527107080116,0.028258453113647306,0.057013892026454856,0.49978719488290363,0.0037688442211055283,0.0,0.04808566642737498,0.032391122278056954,0.0035971524288107215,0.06262344636347,0.011267290141124885,0.018610999676252418,0.09125766542223833,0.07315014625167365,0.021443527159607567,0.0,0.0017273869346733672,0.0,0.0
p__Deferribacteres(14),0.15714285714285717,0.0,0.07142857142857144,0.14285714285714288,0.4285714285714286,0.0,0.014285714285714289,0.0,0.0,0.0,0.0,0.014285714285714289,0.028571428571428577,0.0,0.07142857142857144,0.07142857142857144,0.0,0.0,0.0,0.0
p__Fusobacteria(254),0.1653998029920153,0.04062995603565686,0.14807986903116832,0.05279787416639673,0.051203808316458654,0.015762366686116108,0.009350732835321921,0.00927071616047994,0.006490303864419293,0.015487289993636239,0.07558963585337,0.04418392720972253,0.026594044669727222,0.26014095139154425,0.04397190449311595,0.03166995182354454,0.0,0.0033768644773061905,0.0,0.0
p__GAL15(17),0.0,0.02941176470588236,0.0,0.019607843137254905,0.0,0.0,0.008403361344537816,0.20375816993464058,0.6369281045751634,0.02205882352941177,0.0,0.07983193277310925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p__AD3(93),0.0021505376344086026,0.0,0.0,0.0011947431302270013,0.010752688172043012,0.11310723746859098,0.0,0.028735056171133457,0.6773677070248505,0.034270478298764784,0.008124044414366996,0.003099304237824162,0.0,0.03466133962140317,0.050674051860010116,0.035862811966377334,0.0,0.0,0.0,0.0
p__WPS-2(125),0.03726666666666666,0.0,0.015999999999999997,0.03,0.0048,0.024461624649859938,0.0,0.022698989898989896,0.6167036075036075,0.06062020202020202,0.01845921398862575,0.060044444444444435,0.023469654528478053,0.04575901875901876,0.0233030303030303,0.01594295900178253,0.0,0.0004705882352941176,0.0,0.0
p__SBR1093(44),0.004545454545454546,0.0,0.0,0.004545454545454546,0.0,0.001196172248803828,0.0,0.0956439393939394,0.08996212121212122,0.06013774104683196,0.22321599453178403,0.10356404958677687,0.23123718386876282,0.0,0.008419421487603308,0.17753246753246757,0.0,0.0,0.0,0.0
p__[Thermi](251),0.19621043732942153,0.017381011383947008,0.08442678591371373,0.007680097466114687,0.006450388920508442,0.024210848912044128,0.0917622806145926,0.012483399734395748,0.06324241105351955,0.030933840395991785,0.04854609105551008,0.21123171925923384,0.03619536192148966,0.05009038449649817,0.06896002229527873,0.02828256865013066,0.0,0.02191235059760956,0.0,0.0
p__CD12(14),0.0,0.13809523809523808,0.0,0.0,0.0,0.0,0.0047619047619047615,0.0,0.0,0.0,0.8345238095238096,0.02261904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p__BHI80-139(13),0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.027972027972027972,0.8974358974358974,0.006993006993006993,0.013986013986013986,0.0,0.020979020979020976,0.0,0.0,0.0,0.0,0.0
p__Poribacteria(21),0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.9047619047619048,0.0,0.04761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p__MVS-104(30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33694444444444444,0.061944444444444455,0.1816666666666667,0.3666666666666667,0.0,0.0,0.0,0.008333333333333335,0.044444444444444446,0.0,0.0,0.0,0.0
p__OP3(2110),7.97156253220273e-05,0.0005924170616113745,0.0005893790253979828,0.0,0.0,0.0016587677725118483,0.00047393364928909954,0.08168868771592767,0.04109287582794502,0.39064687781041113,0.1364212318462997,0.01667213985279693,0.04953669897730582,0.0008195102685624012,0.22308677069521837,0.053283963855602745,0.0,0.003357030015797788,0.0,0.0
p__AncK6(14),0.10714285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025510204081632647,0.31632653061224486,0.1607142857142857,0.0025510204081632647,0.07142857142857142,0.0,0.1964285714285714,0.14285714285714285,0.0,0.0,0.0,0.0
p__TM7(359),0.01968430826369545,0.016945218198700096,0.03733397924992935,0.005571030640668524,0.014623955431754874,0.007195914577530176,0.03308131051863643,0.10423286091809768,0.2720374565082086,0.037805462875100754,0.016507494362647566,0.04174574265103512,0.018218979256583712,0.025015138670219206,0.3467513800034692,0.0032497678737233057,0.0,0.0,0.0,0.0
