SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	PeptideMass	SpectrumMass	Retention	MassDiff	Adduct	Charge	SMILES	FDR
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	38572	393308	283182	cyclo(Leu-Trp-Pro3-Phe-Gly-Pro6-Glu)|hymenamide_C|iso-hymenamide_C	29	826.401	827.408	288.534	0.00026	M+H	1	CC(C)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	37774	380255	661768	Thermoactinoamide_A	27	714.468	715.475	351.055	0.0003	M+H	1	CC[C@H](C)[C@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	38997	397512	372463	stylissamide_X	26	951.522	952.528	341.065	0.00126	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	38577	393338	491306	phakellistatin_1	26	827.458	828.468	290.223	-0.00274	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	37115	368381	205887	Scopularide_A_Scopularide_A	26	671.426	672.433	402.241	0.0003	M+H	1	CCCCCCC(C)C1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(Cc2ccccc2)C(=O)O1	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	38264	388638	491528	hymenamide_D	24	769.401	770.408	242.411	0.00026	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	35636	347814	194247	Isariins_Isariin_G2	24	609.41	610.417	356.775	0.00029	M+H	1	CCCCCCCCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)O1	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	31872	303106	506062	phakellistatin_16	24	1036.5	519.256	200.599	0.0026	M+2H	2	CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC1=O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	36029	353208	195197	Emericellamides_Emericellamide_B	23	623.426	624.433	381.293	0.0003	M+H	1	CCCCC(C)CC(C)C1OC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)CNC(=O)C1C	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	29816	281702	124616	Spermidine_N''-(4-Hydroxy-3-methoxycinnamoyl),_N-(3,4-dihydroxycinnamoyl)	23	483.237	484.244	175.216	0.00029	M+H	1	COc1cc(/C=C/C(=O)NCCCCNCCCNC(=O)/C=C/c2ccc(O)c(O)c2)ccc1O	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	35201	340663	210630	Emericellamides_Emericellamide_C	22	595.394	596.401	342.365	0.00028	M+H	1	CCCCCCCC1OC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)CNC(=O)C1C	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	36391	358704	1716	Isariins_Isariin_A	21	637.441	638.448	395.887	0.00028	M+H	1	CCCCCCCCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)O1	0.00
b6e15e30aea24ded9a413379dee0b4eb/spectra/specs_ms.mgf	36208	355237	36491	Spermidine_N''-(4-Hydroxy-3-methoxycinnamoyl),_N'-(3,4-dihydroxycinnamoyl),_N-(4-hydroxycinnamoyl)	21	629.274	630.281	241.593	0.00027	M+H	1	COc1cc(/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/c2ccc(O)cc2)C(=O)/C=C/c2ccc(O)c(O)c2)ccc1O	0.00
