shared name	CSI_#adducts	CSI_#predictedFPs	CSI_ConfidenceScore	CSI_CSI:FingerIDScore	CSI_ZodiacScore	CSI_SiriusScore	CSI_molecularFormula	CSI_adduct	CSI_InChIkey2D	CSI_InChI	CSI_name	CSI_smiles	CSI_xlogp	CSI_pubchemids	CSI_links	CSI_dbflags	CSI_ionMass	CSI_retentionTimeInSeconds	CSI_id
31	4	5		-155.724	0.909	25.632	C19H20O6	[M + H3N + H]+	OEKOYDNDUSEWAD	InChI=1S/C19H20O6/c1-22-15-7-5-6-13(20)18(15)14(21)9-8-12-10-16(23-2)19(25-4)17(11-12)24-3/h5-11,20H,1-4H3		COC1=CC=CC(=C1C(=O)C=CC2=CC(=C(C(=C2)OC)OC)OC)O	3.8	24721391;53405584	COCONUT:(CNP0153998);PubChem:(24721391 53405584);SuperNatural:(SN00035008);ZINC bio:(ZINC48057074);additional;Training Set	3694594	362.159	314.0	30_140221_31
1078	1	1		-139.338	1.0	35.636	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2671.382	1077_140221_1078
1079	1	1		-143.484	1.0	35.044	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2718.99	1078_140221_1079
1073	1	1		-134.611	1.0	22.974	C4H4Cl2O4	[M + H]+	FMACOGSACRRIMK	InChI=1S/C4H4Cl2O4/c5-3(7)9-1-2-10-4(6)8/h1-2H2	Ethylene chloroformate	C(COC(=O)Cl)OC(=O)Cl	2.1	31282	NORMAN:(NS00020467);PubChem class - safety and toxic;PubChem:(31282);PubMed	67371074	186.956	2508.196	1072_140221_1073
1075	1	1		-134.237	0.999	35.188	C4H4Cl2O4	[M + H]+	FMACOGSACRRIMK	InChI=1S/C4H4Cl2O4/c5-3(7)9-1-2-10-4(6)8/h1-2H2	Ethylene chloroformate	C(COC(=O)Cl)OC(=O)Cl	2.1	31282	NORMAN:(NS00020467);PubChem class - safety and toxic;PubChem:(31282);PubMed	67371074	186.956	2532.8	1074_140221_1075
1081	1	1		-143.475	1.0	35.69	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2820.642	1080_140221_1081
1077	1	1		-140.683	1.0	40.484	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2621.107	1076_140221_1077
1082	1	1		-143.517	1.0	35.153	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2866.603	1081_140221_1082
1076	1	1		-140.012	1.0	40.644	C3H5O3P	[M + K]+	ISLWZBTUAHMAND	InChI=1S/C3H6O3P/c4-7-5-2-1-3-6-7/h1-3H2/q+1	1,3,2-Dioxaphosphorinane-2-oxide	C1CO[P+](=O)OC1	0.1	6337098	MeSH:(6337098);PubChem:(6337098);PubMed	70	158.961	2573.13	1075_140221_1076
13	4	4		-76.449	0.993	27.744	C12H12O	[M + H3N + H]+	PRNUCJKOERXADE	InChI=1S/C12H12O/c1-11(13)7-5-6-10-12-8-3-2-4-9-12/h2-10H,1H3	6-Phenylhexa-3,5-dien-2-one	CC(=O)C=CC=CC1=CC=CC=C1	2.662	107512;5708783;5906142;5382765;6913598;92526011	NORMAN:(NS00048492);COCONUT:(CNP0296768);HMDB:(31621);Natural Products:(UNPD52383);PubChem:(107512 5708783 5906142 5382765 6913598 92526011);SuperNatural:(SN00326269);ZINC bio:(ZINC01761712);PubChem class - bio and metabolites;PubMed	20226122	190.122	222.596	12_140221_13
