VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_0_6GW97OBXAW	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55693	56692	6307	Cyclosporin,_9CI_Cyclosporin_R	20	4.7e-30	1173.81	601.927	-1	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-00000_PSM_22_S07CUGJM2X	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42218	42948	9212	stylissamide_X	12	1.0e-28	951.522	985.549	-1	M+H	1	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
spectra-00000_PSM_1_AUEALQ69HL	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55666	56663	5467	Cyclosporin,_9CI_Cyclosporin_Q	19	1.8e-27	1173.81	601.927	-1	M+2H	2	CC=CCC(C)C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C)O	0.00
spectra-00000_PSM_11_360N859Y0N	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	12135	12252	5748	Unguisin_D_Unguisin_D	15	1.7e-25	738.443	654.399	-1	M+H	1	CCC(C)C1C(=O)NC(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NCCCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)N1	0.00
None	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	33340	33873	504	Nocardiamide_A_Nocardiamide_A	17	1.9e-25	686.437	687.443	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_6_0POCSSMKAP	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55634	56631	1440	Destruxins_Piperidine_homologue,_4'ξ,5'-epoxide	16	4.6e-25	607.358	626.376	-1	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC2CO2)C(=O)N2CCCCC2C(=O)N1	0.00
spectra-00000_PSM_5_U69ZEKORIF	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	12105	12222	5748	Unguisin_D_Unguisin_D	17	5.5e-25	738.443	682.429	-1	M+H	1	CCC(C)C1C(=O)NC(C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NCCCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)N1	0.00
spectra-00000_PSM_2_QAZC4DWVE8	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	47452	48304	504	Nocardiamide_A_Nocardiamide_A	18	1.6e-24	686.437	701.459	-1	M+H	1	CCC(C)C1C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_10_6LSF8HMOU2	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	43601	44366	8796	hymenamide_C	15	2.5e-24	826.401	754.413	-1	M+H	1	[C@@H]1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)NCC(=O)N3[C@H](C(=O)N1)CCC3)Cc1ccccc1)CCC2)Cc1c[nH]c2c1cccc2)CC(C)C)CCC(=O)O	0.00
spectra-00000_PSM_12_2WRQ5KY2LZ	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42033	42762	9212	stylissamide_X	14	2.6e-24	951.522	968.523	-1	M+H	1	[C@@H]12N(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@H]4N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@@H](C)O)CCC4)[C@H](CC)C)CCC3)Cc1c3c([nH]c1)cccc3)Cc1ccccc1)CCC2	0.00
spectra-00000_PSM_52_OT2M1TYVTG	929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	14821	15052	8456	OHB;_cPHB;_Oligo-(hydroxybutyric_acid),	7	9.4e-24	792.342	724.338	-1	M+H	1	C(=O)(CC(OC(=O)CC(OC(=O)CC(OC(=O)CC(O)C)C)C)C)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)OC(CC(=O)O)C)C)C)C)C	0.00
