SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	PeptideMass	SpectrumMass	Retention	MassDiff	Adduct	Charge	SMILES	FDR
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55634	56631	48635	Destruxins_Piperidine_homologue,_4',5'-dihydro,_4'ξ,5'-dihydroxy	44	625.369	626.376	-1	0.00028	M+H	1	CCC(C)C1NC(=O)C2CCCCN2C(=O)C(CC(O)CO)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34278	34834	516485	WS-7338-A;_BE-18257-A	43	598.311	599.318	-1	-2e-05	M+H	1	CC(C)CC1NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55641	56638	132310	Triptotin_L_Triptotin_L	41	665.473	666.478	-1	0.00228	M+H	1	CC(C)CCCCC(C)(C)CCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)O1	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	33340	33873	247378	Nocardiamide_A_Nocardiamide_A	41	686.437	687.443	-1	0.00128	M+H	1	CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)NC1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55690	56689	71560	Destruxins_4',5'-Dihydro,_4'ξ,5'-dihydroxy	40	611.353	612.361	-1	-0.00032	M+H	1	CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(O)CO)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	51671	52607	194243	Isariins_Isariin_E	40	553.348	554.351	-1	0.00378	M+H	1	CCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)O1	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	42086	42815	506062	phakellistatin_16	40	1036.5	519.256	-1	0.00256	M+2H	2	CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55636	56633	468484	cyclo[-L-Ile-D-Ile-L-Lys-L-Ile-D-Phe-D-Leu-L-Ile-D-Ala-]|surugamides_A	39	911.621	912.627	-1	0.00118	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H]([C@H](C)CC)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55642	56639	20163	Isariins_Isariin_C	38	567.363	568.37	-1	0.00018	M+H	1	CCCCCCC1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)O1	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	55637	56634	191910	Pseudodestruxin_C_Pseudodestruxin_C	37	669.41	670.416	-1	0.00078	M+H	1	CC(C)CC1OC(=O)CCNC(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)NC(=O)C2C(C)CCN2C1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	38119	38763	195197	Emericellamides_Emericellamide_B	37	623.426	624.435	-1	-0.00182	M+H	1	CCCCC(C)CC(C)C1OC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)CNC(=O)C1C	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	38089	38733	210630	Emericellamides_Emericellamide_C	37	595.394	596.401	-1	0.00048	M+H	1	CCCCCCCC1OC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)CNC(=O)C1C	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	34167	34720	516486	WS-7338-B;_BE-18257-B	37	612.327	613.334	-1	-2e-05	M+H	1	CCC(C)C1NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(C)C)NC1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	2853	2889	246562	18(13→12)-Abeo-3,4-secolanosta-4(28),8,13(17),24-tetraene-3,26-dioic_acid_18(13→12)-Abeo-3,4-secolanosta-4(28),8,13(17),24-tetraene-3,26-dioic_acid	36	468.324	469.33	-1	0.00078	M+H	1	C=C(C)C1CCC2=C(CC(C)C3=C(C(C)CC/C=C(/C)C(=O)O)CCC23C)C1(C)CCC(=O)O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	46929	47763	655164	Desmethylisaridin_C2	35	655.394	656.401	-1	0.00058	M+H	1	CC(C)C[C@@H]1OC(=O)CCNC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2[C@@H](C)CCN2C1=O	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	29037	29494	530155	HA-1-92	35	560.335	561.34	-1	0.00218	M+H	1	CC1CCC(=O)/C=C/C=C/C=C/C=C/C=C/C=C\C(C(=O)O)CCC(O)CC(O)CC(O)CC(O)CC(O)CC1	0.00
929ce9411f684cf8abd009670b293a33/spectra/specs_ms.mgf	2858	2894	207506	3,4-Secolanosta-4(28),9(11),17(20),24-tetraene-3,26-dioic_acid_3,4-Secolanosta-4(28),9(11),17(20),24-tetraene-3,26-dioic_acid	35	468.324	469.331	-1	0.00048	M+H	1	C=C(C)C1CCC2C(=CCC3(C)/C(=C(\C)CC/C=C(/C)C(=O)O)CCC23C)C1(C)CCC(=O)O	0.00
