#SampleID	split-libraries	adaptor-clean-up	cr_silva_seqs	cr_gg_seqs	or_gg_seqs	deblur_100nt_seqs	deblur_150nt_seqs
550.L1S1.s.1.sequence	28145	28145	27714	27583	28070	18251	2227
550.L1S10.s.1.sequence	36370	36370	35539	35026	36330	25149	560
550.L1S100.s.1.sequence	43371	43371	42389	41738	43319	29432	902
550.L1S101.s.1.sequence	35092	35092	34411	34021	35040	23281	849
550.L1S102.s.1.sequence	35544	35544	34444	34166	35463	22628	1614
550.L1S103.s.1.sequence	32094	32094	31154	30788	32035	20910	766
550.L1S104.s.1.sequence	40874	40873	39759	39260	40797	26981	1040
550.L1S105.s.1.sequence	38259	38259	37438	37040	38219	25516	1183
550.L1S106.s.1.sequence	37717	37717	36904	36579	37676	25396	1125
550.L1S107.s.1.sequence	30096	30096	29479	29252	30063	20308	1172
550.L1S108.s.1.sequence	41385	41385	40494	40121	41335	27977	1386
550.L1S109.s.1.sequence	31910	31910	31180	30808	31873	21373	1053
550.L1S11.s.1.sequence	29732	29732	29095	28691	29703	20416	521
550.L1S110.s.1.sequence	29546	29546	28551	28272	29471	18839	1211
550.L1S111.s.1.sequence	35809	35809	34887	34532	35750	23478	1251
550.L1S112.s.1.sequence	46070	46070	44878	44364	46005	30665	1590
550.L1S113.s.1.sequence	35827	35827	34831	34498	35764	23752	1084
550.L1S114.s.1.sequence	38270	38270	37242	36791	38200	25478	967
550.L1S115.s.1.sequence	31741	31741	30897	30545	31688	20983	844
550.L1S116.s.1.sequence	33383	33383	32453	32153	33337	22160	1043
550.L1S117.s.1.sequence	31008	31008	30419	30123	30964	20668	724
550.L1S118.s.1.sequence	34142	34142	33239	32829	34081	22408	1026
550.L1S119.s.1.sequence	40944	40944	39929	39472	40870	27191	1272
550.L1S12.s.1.sequence	44552	44552	43432	42874	44519	30825	1104
550.L1S120.s.1.sequence	52252	52252	51057	50466	52191	34719	1519
550.L1S121.s.1.sequence	44685	44685	43519	43006	44626	29335	1698
550.L1S122.s.1.sequence	40984	40984	39739	39266	40913	26585	1248
550.L1S123.s.1.sequence	29912	29911	29038	28749	29855	19449	967
550.L1S124.s.1.sequence	25193	25193	24635	24436	25154	17003	681
550.L1S125.s.1.sequence	29048	29048	28356	28048	28982	19159	763
550.L1S126.s.1.sequence	35579	35579	34781	34313	35526	23907	965
550.L1S127.s.1.sequence	36970	36970	36105	35694	36918	24718	864
550.L1S128.s.1.sequence	45071	45071	43615	43122	44968	29138	1438
550.L1S129.s.1.sequence	37376	37376	36184	35651	37311	24341	796
550.L1S13.s.1.sequence	31075	31075	30484	30030	31045	21219	508
550.L1S130.s.1.sequence	38606	38606	37760	37189	38564	25993	745
550.L1S131.s.1.sequence	33088	33088	32414	31981	33061	22368	784
550.L1S132.s.1.sequence	36090	36090	35327	34945	36053	24016	970
550.L1S133.s.1.sequence	39782	39782	39091	38916	39726	26931	813
550.L1S134.s.1.sequence	32868	32868	32190	32043	32807	21545	1071
550.L1S135.s.1.sequence	37756	37756	36906	36702	37687	25275	1193
550.L1S136.s.1.sequence	42606	42605	41203	41150	42528	28179	926
550.L1S137.s.1.sequence	44976	44975	43753	43701	44848	29199	4716
550.L1S138.s.1.sequence	40215	40215	39208	39157	40142	27106	3019
550.L1S139.s.1.sequence	32660	32660	31820	31723	32603	21696	1636
550.L1S14.s.1.sequence	33378	33378	32772	32351	33344	23212	571
550.L1S140.s.1.sequence	35744	35744	35212	35072	35715	24196	659
550.L1S141.s.1.sequence	38083	38083	37368	37232	38044	25457	835
550.L1S142.s.1.sequence	33469	33469	32908	32821	33413	22494	3709
550.L1S143.s.1.sequence	35182	35182	34379	34156	35128	23609	868
550.L1S144.s.1.sequence	41178	41178	40158	39958	41064	27305	3880
550.L1S145.s.1.sequence	54865	54865	53287	52989	54758	35703	2830
550.L1S146.s.1.sequence	30920	30920	30302	30155	30877	20443	808
550.L1S147.s.1.sequence	38329	38329	37316	37163	38238	25019	2646
550.L1S148.s.1.sequence	32279	32279	31644	31506	32226	21566	2485
550.L1S149.s.1.sequence	40877	40877	39843	39696	40802	26608	2295
550.L1S15.s.1.sequence	36006	36006	35377	34910	35964	25343	724
550.L1S150.s.1.sequence	41747	41747	40892	40760	41662	27559	3988
550.L1S151.s.1.sequence	27631	27631	27213	27124	27573	18850	2744
550.L1S152.s.1.sequence	46273	46273	44948	44773	46216	30721	1220
550.L1S153.s.1.sequence	35196	35196	34309	34183	35101	23020	3514
550.L1S154.s.1.sequence	36227	36227	35173	35066	36171	23960	1020
550.L1S155.s.1.sequence	34880	34880	33852	33760	34829	23316	1336
550.L1S156.s.1.sequence	35621	35621	34325	34220	35543	23156	1307
550.L1S157.s.1.sequence	37135	37135	36226	36114	37081	24761	996
550.L1S158.s.1.sequence	39814	39814	38683	38520	39753	26106	1258
550.L1S159.s.1.sequence	36868	36868	35823	35627	36801	24009	1228
550.L1S16.s.1.sequence	34130	34130	33218	32760	34075	23476	978
550.L1S160.s.1.sequence	35992	35992	34853	34687	35920	23294	1368
550.L1S161.s.1.sequence	40498	40498	39414	39206	40463	27171	1095
550.L1S162.s.1.sequence	39371	39371	38355	38143	39318	26457	1123
550.L1S163.s.1.sequence	39254	39254	38208	38043	39204	26470	972
550.L1S164.s.1.sequence	35636	35636	34666	34550	35599	23686	1161
550.L1S165.s.1.sequence	34647	34647	33732	33614	34558	23020	4052
550.L1S166.s.1.sequence	33257	33257	32163	31922	33180	21208	1262
550.L1S167.s.1.sequence	38335	38335	37347	37101	38273	24694	1043
550.L1S168.s.1.sequence	36917	36917	35991	35803	36863	24105	1081
550.L1S169.s.1.sequence	30348	30348	29592	29471	30291	19886	2036
550.L1S17.s.1.sequence	31548	31548	31015	30674	31519	21783	846
550.L1S170.s.1.sequence	31679	31679	30761	30532	31636	20930	774
550.L1S171.s.1.sequence	29914	29914	29017	28886	29866	19644	943
550.L1S172.s.1.sequence	21812	21812	21299	21234	21797	15362	373
550.L1S173.s.1.sequence	31719	31719	30632	30585	31671	20708	862
550.L1S174.s.1.sequence	30871	30871	29673	29551	30817	20274	977
550.L1S175.s.1.sequence	30948	30948	29721	29712	30853	19941	3119
550.L1S176.s.1.sequence	35887	35887	35131	34942	35800	24201	7320
550.L1S177.s.1.sequence	42186	42186	40119	40059	42116	27353	1114
550.L1S178.s.1.sequence	33858	33857	32498	32394	33733	21736	3467
550.L1S179.s.1.sequence	36119	36119	34759	34597	36074	23637	1053
550.L1S18.s.1.sequence	21652	21652	21257	20985	21633	15045	560
550.L1S180.s.1.sequence	28588	28588	27962	27877	28561	19515	631
550.L1S181.s.1.sequence	33261	33261	32433	32314	33221	22258	828
550.L1S182.s.1.sequence	31482	31482	30694	30615	31450	20831	964
550.L1S183.s.1.sequence	36087	36087	34935	34822	36038	23611	1327
550.L1S184.s.1.sequence	39311	39311	38331	38108	39254	25841	1194
550.L1S185.s.1.sequence	45565	45565	44372	44044	45502	30331	1022
550.L1S186.s.1.sequence	43714	43714	42365	42097	43661	28527	1315
550.L1S187.s.1.sequence	43332	43332	41524	41301	43260	27616	1337
550.L1S188.s.1.sequence	45557	45557	43194	43077	45473	29012	1820
550.L1S189.s.1.sequence	40139	40139	38433	38358	40057	25682	1810
550.L1S19.s.1.sequence	32362	32362	31689	31327	32321	22260	587
550.L1S190.s.1.sequence	37299	37299	35627	35439	37213	23558	1512
550.L1S191.s.1.sequence	39998	39998	37661	37549	39904	24396	1779
550.L1S193.s.1.sequence	51708	51708	48566	48437	51609	33186	1874
550.L1S194.s.1.sequence	46992	46992	43852	43925	46875	29264	1974
550.L1S195.s.1.sequence	43940	43940	42498	42363	43794	28619	6020
550.L1S196.s.1.sequence	45337	45337	43447	43258	45258	29573	1585
550.L1S197.s.1.sequence	45069	45069	42868	42787	45012	29650	1274
550.L1S198.s.1.sequence	45099	45099	43309	43119	45001	28683	2048
550.L1S199.s.1.sequence	49228	49228	47451	47156	49138	32209	1595
550.L1S2.s.1.sequence	39880	39880	39336	39133	39851	28374	635
550.L1S20.s.1.sequence	30131	30131	29553	29179	30094	20643	603
550.L1S200.s.1.sequence	49504	49503	47968	47628	49413	32655	1733
550.L1S201.s.1.sequence	48090	48090	46761	46395	48014	32568	1549
550.L1S202.s.1.sequence	41364	41364	40255	40095	41262	28028	2620
550.L1S203.s.1.sequence	40061	40061	39185	39032	40005	26151	1469
550.L1S204.s.1.sequence	37770	37770	36725	36634	37731	25240	1364
550.L1S205.s.1.sequence	41466	41466	40413	40313	41411	27430	1320
550.L1S206.s.1.sequence	40941	40941	39610	39447	40877	27094	1486
550.L1S207.s.1.sequence	42738	42738	41169	40946	42674	28157	1624
550.L1S208.s.1.sequence	42060	42060	40099	39975	41971	27375	1362
550.L1S209.s.1.sequence	46308	46308	44412	44278	46215	30297	1495
550.L1S21.s.1.sequence	36688	36688	35821	35203	36653	25316	583
