#SampleID	emp_cr_gg_13_8.summary.txt.tsv	emp_cr_silva_16S_123.summary.txt.tsv	emp_or_gg_13_8.summary.txt.tsv	emp.90.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.100.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.150.min25.deblur.withtax.onlytree.summary.txt.tsv
1001.SKB1	11875.0	12964.0	15787.0	7970.0	7937.0	6229.0
1001.SKB2	12706.0	13933.0	16858.0	8550.0	8619.0	6990.0
1001.SKB3	15287.0	16780.0	20063.0	10111.0	10243.0	8164.0
1001.SKB4	13091.0	14165.0	16649.0	8697.0	8786.0	7281.0
1001.SKB5	9823.0	10634.0	12592.0	6557.0	6584.0	5325.0
1001.SKB6	10969.0	11932.0	13960.0	7138.0	7234.0	5787.0
1001.SKB7	12750.0	13297.0	14252.0	9368.0	9363.0	8066.0
1001.SKB8	12713.0	13757.0	15326.0	10321.0	10093.0	8495.0
1001.SKB9	13453.0	14417.0	16246.0	10074.0	9924.0	8362.0
1001.SKD1	1.0	1.0	1.0	0.0	0.0	0.0
1001.SKD2	11900.0	13168.0	16073.0	8088.0	8045.0	6149.0
1001.SKD3	14194.0	15849.0	19699.0	9922.0	9891.0	7640.0
1001.SKD4	1.0	2.0	2.0	0.0	0.0	0.0
1001.SKD5		1.0	1.0	0.0	0.0	0.0
1001.SKD6	25039.0	28107.0	34223.0	17307.0	17646.0	14889.0
1001.SKD7	11930.0	13311.0	15578.0	9251.0	9091.0	7605.0
1001.SKD8	12162.0	13254.0	15800.0	9544.0	9303.0	7368.0
1001.SKD9	6428.0	7608.0	9378.0	5594.0	5451.0	4294.0
1001.SKM1	9290.0	10227.0	12524.0	6160.0	6076.0	4482.0
1001.SKM2	8597.0	9590.0	11820.0	6006.0	6002.0	4509.0
1001.SKM3	13676.0	15028.0	18169.0	9327.0	9313.0	7275.0
1001.SKM4	9594.0	10407.0	13126.0	6814.0	6641.0	5208.0
1001.SKM5	11004.0	12039.0	14840.0	7815.0	7708.0	6189.0
1001.SKM6	1.0	2.0	1.0	0.0	0.0	0.0
1001.SKM7	21163.0	23365.0	28187.0	17099.0	16916.0	13941.0
1001.SKM8	9269.0	10184.0	11923.0	7304.0	7217.0	6000.0
1001.SKM9	14509.0	15441.0	17985.0	11359.0	11280.0	9591.0
1024.DPOO1.C1.HA.1.166.flw.6.11.G1.L00	3537.0	3529.0	3657.0	2740.0	2692.0	2267.0
1024.DPOO1.C1.HA.1.21.bulk.6.11.G1.L00	5654.0	6121.0	8174.0	4229.0	4119.0	3033.0
1024.DPOO1.C1.HA.1.22.rhizo.6.11.G1.L00	4083.0	4548.0	6172.0	3104.0	2995.0	2142.0
1024.DPOO1.C1.HA.1.226.bulk.9.11.G1.L00	6639.0	7217.0	9712.0	5025.0	4906.0	3733.0
1024.DPOO1.C1.HA.1.227.rhizo.9.11.G1.L00	6175.0	6702.0	8942.0	4817.0	4734.0	3664.0
1024.DPOO1.C1.HA.1.426.bulk.4.12.G1.L00	6530.0	7087.0	9246.0	4897.0	4853.0	3791.0
1024.DPOO1.C1.HA.2.167.flw.6.11.G1.L00	2869.0	2867.0	3021.0	2260.0	2211.0	1772.0
1024.DPOO1.C1.HA.2.231.bulk.9.11.G1.L00	7191.0	7748.0	10337.0	5354.0	5251.0	4012.0
1024.DPOO1.C1.HA.2.232.rhizo.9.11.G1.L00	5802.0	6259.0	8375.0	4526.0	4416.0	3306.0
1024.DPOO1.C1.HA.2.233.root.9.11.G1.L00	4302.0	4869.0	6160.0	3628.0	3592.0	2975.0
1024.DPOO1.C1.HA.2.25.bulk.6.11.G1.L00	5200.0	5582.0	7260.0	3458.0	3370.0	2468.0
1024.DPOO1.C1.HA.2.26.rhizo.6.11.G1.L00	4501.0	4871.0	6634.0	3593.0	3482.0	2586.0
1024.DPOO1.C1.HA.2.431.bulk.4.12.G1.L00	6000.0	6568.0	8630.0	4706.0	4570.0	3501.0
1024.DPOO1.C1.HA.3.168.flw.6.11.G1.L00	3709.0	3685.0	3833.0	2532.0	2493.0	2386.0
1024.DPOO1.C1.HA.3.236.bulk.9.11.G1.L00	5571.0	6008.0	7820.0	4000.0	3887.0	2911.0
