SAMPLE_RANK,OBSERVATION_RANK,SAMPLE_ID,OBSERVATION_ID,empo_3,METADATA_NUMERIC_CODE
79,66,925.IF5z,k__Archaea;p__Crenarchaeota,Surface (non-saline),1
79,76,925.IF5z,k__Bacteria;p__Cyanobacteria,Surface (non-saline),1
79,69,925.IF5z,k__Bacteria;p__Armatimonadetes,Surface (non-saline),1
79,72,925.IF5z,k__Bacteria;p__Firmicutes,Surface (non-saline),1
79,79,925.IF5z,k__Bacteria;p__Bacteroidetes,Surface (non-saline),1
79,20,925.IF5z,k__Bacteria;p__OP1,Surface (non-saline),1
79,75,925.IF5z,k__Bacteria;p__Acidobacteria,Surface (non-saline),1
79,77,925.IF5z,unclassified,Surface (non-saline),1
79,80,925.IF5z,k__Bacteria;p__Proteobacteria,Surface (non-saline),1
79,55,925.IF5z,k__Bacteria;p__[Thermi],Surface (non-saline),1
79,7,925.IF5z,k__Bacteria;p__OctSpA1-106,Surface (non-saline),1
79,18,925.IF5z,k__Bacteria;p__Aquificae,Surface (non-saline),1
79,56,925.IF5z,k__Archaea;p__[Parvarchaeota],Surface (non-saline),1
305,65,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Chlamydiae,Water (non-saline),2
305,52,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Fusobacteria,Water (non-saline),2
305,68,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Chlorobi,Water (non-saline),2
305,76,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Cyanobacteria,Water (non-saline),2
305,69,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Armatimonadetes,Water (non-saline),2
305,71,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Planctomycetes,Water (non-saline),2
305,72,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Firmicutes,Water (non-saline),2
305,79,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Bacteroidetes,Water (non-saline),2
305,49,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__GN02,Water (non-saline),2
305,60,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Spirochaetes,Water (non-saline),2
305,59,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__OP3,Water (non-saline),2
305,75,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Acidobacteria,Water (non-saline),2
305,42,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Lentisphaerae,Water (non-saline),2
305,53,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__TM7,Water (non-saline),2
305,64,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__TM6,Water (non-saline),2
305,77,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,unclassified,Water (non-saline),2
305,74,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Verrucomicrobia,Water (non-saline),2
305,80,1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,k__Bacteria;p__Proteobacteria,Water (non-saline),2
