SAMPLE_RANK,OBSERVATION_RANK,SAMPLE_ID,OBSERVATION_ID,empo_3,METADATA_NUMERIC_CODE
3,66,2382.SH008.C6.HA.4.745.gp.9.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Cyanobacteria,Plant corpus,1
3,67,2382.SH008.C6.HA.4.745.gp.9.12.lane8.NoIndex.L008.sequences,k__Bacteria;p__Proteobacteria,Plant corpus,1
162,41,933.Lu229,k__Bacteria;p__Fusobacteria,Plant surface,2
162,66,933.Lu229,k__Bacteria;p__Cyanobacteria,Plant surface,2
162,63,933.Lu229,k__Bacteria;p__Planctomycetes,Plant surface,2
162,64,933.Lu229,k__Bacteria;p__Bacteroidetes,Plant surface,2
162,50,933.Lu229,k__Bacteria;p__GN02,Plant surface,2
162,59,933.Lu229,k__Bacteria;p__Acidobacteria,Plant surface,2
162,61,933.Lu229,unclassified,Plant surface,2
162,62,933.Lu229,k__Bacteria;p__Verrucomicrobia,Plant surface,2
162,67,933.Lu229,k__Bacteria;p__Proteobacteria,Plant surface,2
162,65,933.Lu229,k__Bacteria;p__Actinobacteria,Plant surface,2
198,41,910.CuracaoTurf4C,k__Bacteria;p__Fusobacteria,Plant corpus,1
198,66,910.CuracaoTurf4C,k__Bacteria;p__Cyanobacteria,Plant corpus,1
198,63,910.CuracaoTurf4C,k__Bacteria;p__Planctomycetes,Plant corpus,1
198,60,910.CuracaoTurf4C,k__Bacteria;p__Firmicutes,Plant corpus,1
198,64,910.CuracaoTurf4C,k__Bacteria;p__Bacteroidetes,Plant corpus,1
198,59,910.CuracaoTurf4C,k__Bacteria;p__Acidobacteria,Plant corpus,1
198,45,910.CuracaoTurf4C,k__Bacteria;p__TM6,Plant corpus,1
198,61,910.CuracaoTurf4C,unclassified,Plant corpus,1
198,67,910.CuracaoTurf4C,k__Bacteria;p__Proteobacteria,Plant corpus,1
198,31,910.CuracaoTurf4C,k__Bacteria;p__OP8,Plant corpus,1
198,5,910.CuracaoTurf4C,k__Bacteria;p__Poribacteria,Plant corpus,1
198,65,910.CuracaoTurf4C,k__Bacteria;p__Actinobacteria,Plant corpus,1
237,41,1747.DZF.6252012.A.log,k__Bacteria;p__Fusobacteria,Plant corpus,1
237,66,1747.DZF.6252012.A.log,k__Bacteria;p__Cyanobacteria,Plant corpus,1
237,56,1747.DZF.6252012.A.log,k__Bacteria;p__Armatimonadetes,Plant corpus,1
237,63,1747.DZF.6252012.A.log,k__Bacteria;p__Planctomycetes,Plant corpus,1
