SAMPLE_RANK,OBSERVATION_RANK,SAMPLE_ID,OBSERVATION_ID,empo_3,METADATA_NUMERIC_CODE
316,60,804.3876.1113,k__Bacteria;p__Chlamydiae,Surface (saline),1
316,71,804.3876.1113,k__Archaea;p__Crenarchaeota,Surface (saline),1
316,56,804.3876.1113,k__Bacteria;p__Fusobacteria,Surface (saline),1
316,68,804.3876.1113,k__Bacteria;p__Chlorobi,Surface (saline),1
316,79,804.3876.1113,k__Bacteria;p__Cyanobacteria,Surface (saline),1
316,52,804.3876.1113,k__Bacteria;p__Fibrobacteres,Surface (saline),1
316,55,804.3876.1113,k__Bacteria;p__Armatimonadetes,Surface (saline),1
316,75,804.3876.1113,k__Bacteria;p__Planctomycetes,Surface (saline),1
316,74,804.3876.1113,k__Bacteria;p__Firmicutes,Surface (saline),1
316,30,804.3876.1113,k__Bacteria;p__WPS-2,Surface (saline),1
316,40,804.3876.1113,k__Bacteria;p__WWE1,Surface (saline),1
316,80,804.3876.1113,k__Bacteria;p__Bacteroidetes,Surface (saline),1
316,67,804.3876.1113,k__Bacteria;p__GN02,Surface (saline),1
316,66,804.3876.1113,k__Bacteria;p__Spirochaetes,Surface (saline),1
316,57,804.3876.1113,k__Bacteria;p__OP3,Surface (saline),1
316,72,804.3876.1113,k__Bacteria;p__Acidobacteria,Surface (saline),1
316,41,804.3876.1113,k__Bacteria;p__WS2,Surface (saline),1
316,58,804.3876.1113,k__Bacteria;p__Lentisphaerae,Surface (saline),1
316,24,804.3876.1113,k__Bacteria;p__WS5,Surface (saline),1
316,27,804.3876.1113,k__Bacteria;p__TM7,Surface (saline),1
316,62,804.3876.1113,k__Bacteria;p__TM6,Surface (saline),1
316,76,804.3876.1113,unclassified,Surface (saline),1
316,77,804.3876.1113,k__Bacteria;p__Verrucomicrobia,Surface (saline),1
316,35,804.3876.1113,k__Bacteria;p__ZB3,Surface (saline),1
316,73,804.3876.1113,k__Bacteria;p__Chloroflexi,Surface (saline),1
316,37,804.3876.1113,k__Bacteria;p__OP11,Surface (saline),1
316,13,804.3876.1113,k__Bacteria;p__FBP,Surface (saline),1
316,81,804.3876.1113,k__Bacteria;p__Proteobacteria,Surface (saline),1
316,64,804.3876.1113,k__Bacteria;p__OD1,Surface (saline),1
316,51,804.3876.1113,k__Bacteria;p__Elusimicrobia,Surface (saline),1
316,69,804.3876.1113,k__Archaea;p__Euryarchaeota,Surface (saline),1
316,42,804.3876.1113,k__Bacteria;p__SR1,Surface (saline),1
316,78,804.3876.1113,k__Bacteria;p__Actinobacteria,Surface (saline),1
316,65,804.3876.1113,k__Archaea;p__[Parvarchaeota],Surface (saline),1
316,63,804.3876.1113,k__Bacteria;p__Nitrospirae,Surface (saline),1
140,60,905.Alsback.0.5to0.75cm,k__Bacteria;p__Chlamydiae,Sediment (saline),2
140,79,905.Alsback.0.5to0.75cm,k__Bacteria;p__Cyanobacteria,Sediment (saline),2
140,75,905.Alsback.0.5to0.75cm,k__Bacteria;p__Planctomycetes,Sediment (saline),2
140,74,905.Alsback.0.5to0.75cm,k__Bacteria;p__Firmicutes,Sediment (saline),2
140,80,905.Alsback.0.5to0.75cm,k__Bacteria;p__Bacteroidetes,Sediment (saline),2
140,70,905.Alsback.0.5to0.75cm,k__Bacteria;p__Gemmatimonadetes,Sediment (saline),2
140,72,905.Alsback.0.5to0.75cm,k__Bacteria;p__Acidobacteria,Sediment (saline),2
140,41,905.Alsback.0.5to0.75cm,k__Bacteria;p__WS2,Sediment (saline),2
140,62,905.Alsback.0.5to0.75cm,k__Bacteria;p__TM6,Sediment (saline),2
140,76,905.Alsback.0.5to0.75cm,unclassified,Sediment (saline),2
