EMPO_SUBSET,TAXONOMIC_LEVEL,NODF_NULL_MEAN,NODF_NULL_STDEV,NODF_OBSERVED
All,class,0.25491555555555556,0.0068815817178786215,0.7321284724216625
All,family,0.18793518518518537,0.005303353727482019,0.4349091396040842
All,genus,0.07231865828092242,0.004046126265101983,0.25622381389568516
All,order,0.22509604519774015,0.005760246423117198,0.5828315548239967
All,otu,0.010253150533167159,9.111234956297285E-4,0.039438948981247814
All,phylum,0.3024691358024692,0.009370640476472016,0.8411514870691232
Animal,class,0.16316666666666674,0.0065433494449286846,0.7413139917852606
Animal,family,0.1435451895043733,0.0047689353502362196,0.4935187980935223
Animal,genus,0.07485000000000004,0.004003555799333528,0.32955876986565197
Animal,order,0.13754999999999998,0.005252313174751275,0.6131882939413835
Animal,otu,0.012328749531810158,0.0010419730010643087,0.08061762393068816
Animal,phylum,0.19496774193548408,0.009317328325617973,0.7879136696636698
Nonsaline,class,0.3361730769230771,0.004813313381484048,0.711860942800704
Nonsaline,family,0.22681730769230776,0.0038427930709180142,0.4949618037969954
Nonsaline,genus,0.08849484536082451,0.0031291349527772638,0.32658471557187174
Nonsaline,order,0.2761152737752159,0.0040551392563571475,0.6239840804978114
Nonsaline,otu,0.013411306727546791,5.820486675535377E-4,0.05718120172514576
Nonsaline,phylum,0.3675384615384612,0.006688396858949008,0.8107616785209444
Plant,class,0.3463954802259888,0.008394560776649101,0.8145558494401661
Plant,family,0.2468818443804035,0.007245442295678435,0.5751571958666145
Plant,genus,0.11746325878594246,0.006898066535556843,0.4330443443268156
Plant,order,0.3209462365591397,0.007246070292692346,0.6720758728736713
Plant,otu,0.032281568210040794,0.0023163128172495186,0.11362268245799109
Plant,phylum,0.37489230769230775,0.01078390480649209,0.859824805510181
Saline,class,0.2695740740740741,0.005254719630347317,0.7320046643688533
Saline,family,0.18469172932330827,0.0038290207939734077,0.44808886278364973
Saline,genus,0.07326790450928379,0.0030261227687155006,0.27263857373177863
Saline,order,0.23546827794561956,0.004278341713683914,0.6222043717357242
Saline,otu,0.014106184655160676,6.141794517957397E-4,0.058390426592818054
Saline,phylum,0.3449000000000001,0.007780270032279694,0.7874523758574811

