#SampleID,#SampleID,empo_0,empo_1,empo_2,empo_3,averagecopy
1001.SKB1,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.6883391569886874
1001.SKB2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.7221143095546716
1001.SKB3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.776446327949648
1001.SKB4,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.976231697488288
1001.SKB5,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1001.SKB6,,EMP sample,Free-living,Non-saline,Soil (non-saline),3.039991870725285
1001.SKB7,,EMP sample,Host-associated,Plant,Plant rhizosphere,3.055143485989151
1001.SKB8,,EMP sample,Host-associated,Plant,Plant rhizosphere,2.9190313301184823
1001.SKB9,,EMP sample,Host-associated,Plant,Plant rhizosphere,3.0733306465330887
1001.SKD2,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.830245306588749
1001.SKD3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.709892561423806
1001.SKD6,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.7247813639552456
1001.SKD7,,EMP sample,Host-associated,Plant,Plant rhizosphere,2.82687545794716
1001.SKD8,,EMP sample,Host-associated,Plant,Plant rhizosphere,2.8870430635585382
1001.SKD9,,EMP sample,Host-associated,Plant,Plant rhizosphere,
1001.SKM1,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1001.SKM2,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1001.SKM3,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.7545553220464782
1001.SKM4,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1001.SKM5,,EMP sample,Free-living,Non-saline,Soil (non-saline),2.7803913290631113
1001.SKM7,,EMP sample,Host-associated,Plant,Plant rhizosphere,3.070299589910603
1001.SKM8,,EMP sample,Host-associated,Plant,Plant rhizosphere,
1001.SKM9,,EMP sample,Host-associated,Plant,Plant rhizosphere,3.2417562934546535
1024.DPOO1.C1.HA.1.226.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.DPOO1.C1.HA.2.231.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.DPOO1.C1.HA.5.246.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.HE003.C181.HA.1.551.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.HE003.C181.HA.5.371.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.MU002.C3.HA.1.476.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,,EMP sample,Host-associated,Plant,Plant rhizosphere,2.07510574550435
1024.MU002.C3.HA.3.486.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.RU006.C181.RH.1.576.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.RU006.C181.RH.3.586.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.RU006.C181.RH.4.391.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.RU006.C181.RH.4.591.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.RU006.C181.RH.5.596.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH004.C1.RH.1.1.bulk.6.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH005.C3.RH.2.456.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH005.C3.RH.4.466.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH005.C3.RH.5.57.bulk.6.11.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH007.C6.RH.3.311.root.9.11.G1.L00,,EMP sample,Host-associated,Plant,Plant corpus,
1024.SH007.C6.RH.5.185.flw.6.11.G1.L00,,EMP sample,Host-associated,Plant,Plant corpus,
1024.SH008.C6.HA.1.526.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH008.C6.HA.2.531.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH008.C6.HA.4.541.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1024.SH008.C6.HA.5.546.bulk.4.12.G1.L00,,EMP sample,Free-living,Non-saline,Soil (non-saline),
1030.TVF.2004.Loc1.D0.Rep1,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5803569667429491
1030.TVF.2004.Loc1.D0.Rep2,,EMP sample,Free-living,Non-saline,Soil (non-saline),1.5834808918143801
