	air	avian_egg_product	biofilm	dust	excreta	feces	fresh_water	lake_sediment	marine_sediment	microbial_mat	mucus	organic_material	rhizosphere	saliva	sea_water	sebum	sediment	soil	stream_sediment	travertine
air	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avian_egg_product	0.01	0.73	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0
biofilm	0.0	0.0	0.87	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.0
dust	0.01	0.0	0.0	0.39	0.0	0.04	0.0	0.0	0.0	0.0	0.05	0.03	0.0	0.01	0.01	0.41	0.0	0.04	0.0	0.0
excreta	0.0	0.0	0.0	0.0	0.94	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feces	0.0	0.01	0.0	0.0	0.0	0.95	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
fresh_water	0.0	0.0	0.02	0.0	0.0	0.07	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
lake_sediment	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
marine_sediment	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
microbial_mat	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mucus	0.0	0.0	0.01	0.07	0.0	0.11	0.03	0.0	0.01	0.0	0.4	0.03	0.0	0.06	0.0	0.22	0.0	0.04	0.0	0.0
organic_material	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rhizosphere	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.02	0.0	0.0
saliva	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0
sea_water	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0
sebum	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.03	0.0	0.86	0.0	0.0	0.0	0.0
sediment	0.0	0.0	0.06	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.08	0.0	0.02
soil	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.1	0.0	0.01	0.01	0.02	0.82	0.0	0.0
stream_sediment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
travertine																				
