SampleID	Number of novel OTUs	Percent novel sequences
Agricultural.soil...soy.488669	51069	50.155797391167525
389.538697	37454	54.27415650945062
BMC.7.1T.3.2.479886	35810	49.97319166383398
BMC.7.5T.21.1.479641	35494	44.746094010593872
ME3May11EB1R1.486623	34851	18.201892069017468
BMC.8.5T.17.1.479870	32229	45.285800277631047
BMC.7.1T.3.1.479927	32020	50.769919062919435
Agricultural.soil...wheat.488663	29646	46.226792880451917
BMC.7.5T.18.2.479695	29096	42.689596373391005
BMC.8.5T.23.3.479572	29061	42.71137135531081
BMC.8.5T.23.2.479832	28855	43.878585509112121
BMC.8.1T.11.1.479642	28391	42.557519363497775
BMC.8.5T.17.3.479794	28230	43.05141003983929
CC1.5.378505	27825	42.355124261722196
BMC.8.1T.11.2.479704	27722	42.796346365932621
NZFACE.R1.Browntop.604747	27637	34.639994482059478
BMC.7.1T.26.2.479923	27604	47.008428702078753
CC1.6.378513	27447	42.246658991580261
BMC.8.5T.17.2.479596	27130	42.989186665079608
397.538594	26997	53.568657607986644
BMC.8.5T.2.1.479686	26863	48.915877803591975
Soil.NIL.100.N.14.1.479683	26852	49.887165079774078
KH35.488280	26498	31.462462115920726
sp0370.486388	26426	39.736797561069849
KH30.488265	25923	31.179029374993544
363.538742	25771	60.330942944863054
TBE01June05.617898	25651	57.890216008912468
KH20.488317	25577	33.987494538708916
KH10.488266	25391	29.092924309056457
368.538793	25376	53.51444751346375
KH13.488281	25368	32.204042279160461
Tar.sand.1.488674	24965	44.37213947562951
AQC4cm.5.378630	24866	57.528166308971286
C7.5m.L3.608682	24861	28.540259350796614
NZFACE.R3.Ryegrass.19.7.604744	24852	37.879870155638628
CC1.7.378614	24827	42.697494649841339
BMC.7.5T.5.3.479929	24757	43.542067026013591
AQC4cm.6.378511	24734	57.562672402046175
380.538595	24709	53.147564444497007
427.538548	24615	56.223686736195532
KH54.488290	24463	31.192971069867092
BMC.7.1T.20.1.479715	24428	50.031967135064548
KH33.488289	24388	30.982806934646018
351.538749	24387	46.143773054059132
BMC.7.5T.21.2.479621	24375	44.086708978906103
577.538570	24334	53.09657073984183
CC1.1.378618	24240	43.097955777075079
387.538752	24137	50.492870131113023
BMC.7.1T.26.1.479766	24111	50.311159868355439
A.C.0.2.414767	24009	42.852445840792022
KH8.488301	23896	32.042259486529616
BMC.7.1T.26.3.479589	23875	48.692549216011095
355.538536	23865	51.099631683220977
BMC.8.5T.2.2.479789	23792	48.917217393005821
KH64.488299	23773	29.471837196995722
411.538629	23700	52.487693389592124
KH52.488267	23560	29.700327373457569
KH18.488275	23518	31.931449606632071
391.538688	23444	58.119844154713448
AQC4cm.1.378626	23424	62.953490464979232
KH2.488302	23407	32.790635540860968
NZFACE.R3.warm.604745	23384	36.735568256226607
BMC.8.5T.23.1.479635	23346	40.731217277806834
AQC7cm.5.378555	23337	56.862457958127379
SSBH21Sept08.618514	23258	66.738247592880469
433.538591	23165	51.856210887323847
354.538698	23024	50.875207634325349
BMC.8.1T.30.1.479901	22947	40.447724146490295
BMC.7.5T.18.3.479735	22944	41.066656009431654
565.538578	22943	58.712838054974327
AQC7cm.6.378675	22943	56.766488386729549
BMC.8.5T.2.3.479883	22912	49.555141259142403
CBH29May09.618757	22903	53.338284819124127
MAH20Sept08.617994	22902	73.028159944759707
381.538632	22846	56.344648200421133
NZFACE.R1.control.19.4.604738	22803	33.692842088502843
KH59.488283	22785	30.001686392346844
375.538796	22775	52.089507106138498
KH28.488276	22773	32.293641349434857
KH40.488263	22750	31.270237482217201
KH1.488321	22738	31.223349829399094
A.Ac.2.2.414797	22695	39.699575056823797
A.C.2.1.414769	22683	39.745622420667303
Soil.NIL.100.N.22.2.479722	22581	51.274390450923235
T.3.1.S.E.5.479732	22534	65.301666594892552
T.3.1.S.E.4.479798	22463	69.450257224827439
580.538735	22440	55.610292789464175
C8.5m.L3.608786	22402	25.969120421427878
KH31.488278	22398	30.170088989554422
Soil.NIL.100.N.22.1.479760	22350	49.676326549410739
AQC7cm.1.378628	22339	61.671002784243925
AQC4cm.7.378526	22320	58.14071930178816
A.C.2.2.414783	22265	41.630818563330671
KH11.488288	22230	33.342688260717509
NZFACE.R1.Ryegrass.26.4.604743	22053	36.868401738835885
HKH08Aug07.618533	22036	71.608345571479219
A.C.0.1.414795	22007	43.905599689328255
CC1.4.378684	22005	42.84888203546646
C10.10m.L3.608780	21926	30.3614030003653
BMC.8.1T.30.2.479811	21916	44.229164251767706
CC1.3.378596	21893	42.746993264215639
UT.15.42.414610	21866	56.513521451570789
NZFACE.R2.warm.604736	21853	34.630052019004516
367.538663	21852	61.318878696516776
TBE04Nov05.618630	21796	41.878251035659261
Temperate.deciduous.forest.488668	21734	50.087624191095749
NZFACE.R6.Ryegrass.604753	21657	35.40743210673007
IDF2.REF.ORG.414834	21575	32.837139164153385
KH26.488320	21574	31.561838914400703
369.538631	21566	56.954229387942235
KH47.488324	21563	29.750489763406602
379.538666	21547	59.93659833550965
KH23.488264	21543	31.766240218606384
Soil.NIL.100.N.22.3.479899	21479	52.036455026172703
BMC.7.5T.5.2.479810	21446	44.507076453448036
AK.19.15a.414612	21439	52.953349569079734
MAH28June07.618242	21423	73.047034592559214
BMC.7.5T.18.1.479585	21391	40.073170202140822
KH36.488282	21310	30.15924952017653
383.538781	21297	56.867496608274962
CC1.2.378656	21246	43.963993475694231
W.1.1.S.E.3.479606	21244	81.719142311941354
KH39.488312	21233	29.866216752679637
NZFACE.R2.Browntop.604752	21212	42.826564297881106
KH22.488268	21163	30.835298887808619
BMC.7.5T.21.3.479716	21150	47.157063083254073
KH49.488322	21099	31.082699907490696
Soil.NIL.100.N.14.3.479602	21003	55.175484193908588
A.Ac.2.1.414748	21002	40.418151015018275
NZFACE.R6.warm.604754	20966	33.801647108228543
FRX7.120910.2.608839	20955	37.716798306326851
NZFACE.R2.Ryegrass.24.4.604750	20903	39.074658575138884
IDF2.OM2C0.ORG.414829	20878	31.090019858372187
NZFACE.R4.Browntop.604746	20863	34.79133575803823
546.538550	20863	50.645990546479801
IDF1.OM2C0.ORG.414813	20833	31.447644148717842
Soil.NIL.100.N.14.2.479827	20772	46.563080560716095
SBS3.REF.ORG.414832	20758	38.254351078385959
KH24.488285	20732	30.893598521899797
SSBH30Apr08.618605	20700	63.873517252103483
BMC.7.1T.20.2.479928	20677	48.138822218412479
PLRP19.35.589049	20640	69.215884163379016
MA30may09H.618134	20626	69.229575081227395
T.3.1.S.E.2.479784	20596	73.323715709036804
AQC7cm.7.378521	20544	57.232725663499238
KH7.488307	20534	32.210520093398095
N.2.2.S.E.4.479742	20513	73.825724843784599
AQC4cm.3.378580	20486	59.43670535776927
A.C.2.1.414780	20466	40.414767608540323
NZFACE.R5.Ryegrass.604741	20392	39.274626172172006
T.3.1.S.E.1.479762	20367	73.667300447167349
LbH.479699	20343	62.096890817064356
A.Ac.2.2.414782	20339	37.912158652501475
T.2.1.S.E.2.479751	20328	76.222247939181358
KH43.488315	20272	27.420165865197344
A.N.7.1.414745	20268	40.125304300469658
A.Ac.2.1.414799	20259	39.605479591793362
AQC4cm.4.378647	20194	59.197284027192666
AQC4cm.2.378503	20188	61.51044804609905
A.C.2.2.414762	20138	41.052487013564061
KH51.488291	20124	30.863372759871055
Soil.NIL.100.N.10.1.479705	20122	49.811382647203544
KH53.488271	20120	31.967840532964509
KH48.488300	20109	28.019536584132304
597.538715	20044	57.174608553516791
Boreal.coniferous.forest.488673	20042	50.984639936165962
417.538777	20016	48.095970368900574
MR1.414836	19989	36.705495585257566
KH37.488286	19970	30.726848249027238
642.538694	19969	50.930125434058539
NZFACE.R6.control.604757	19960	36.146105226826585
504.538726	19916	52.951436423189634
439.538623	19894	53.316061731678232
W.3.2.H.E.1.479925	19892	81.671134731759324
370.538555	19888	52.882598898021392
BMC.7.5T.5.1.479912	19884	43.000314520729049
KH61.488323	19861	29.834476476024957
501.538692	19749	58.284715393859933
CHC17.414573	19730	29.769585528752522
526.538790	19723	60.380335662616034
AcidCtrl2.L3.608711	19705	23.629169638213522
AQC7cm.4.378594	19663	58.233288706479669
497.538625	19652	47.705937009387718
NZFACE.R6.Browntop.604751	19649	37.639995325373484
NZFACE.R1.warm.604749	19623	32.643529060435256
382.538770	19592	54.736046975657025
BMC.7.1T.3.3.479703	19564	54.069566378070753
IDF3.REF.MIN.414825	19532	33.351317203185445
KH45.488261	19520	30.144833446310422
573.538616	19505	57.317912708247277
392.538761	19466	53.440856046214094
W.2.1.H.E.1.479897	19454	72.329884053334652
W.3.1.H.E.5.479747	19420	49.919355236483987
BMC.8.1T.11.3.479872	19408	44.069714929275925
SP3.414845	19403	48.188194038573933
550.538646	19365	51.763656327202852
KH19.488277	19356	32.029590163032111
NZFACE.R5.warm.604748	19352	36.179753063443968
425.538725	19308	47.048403234536721
AQC7cm.2.378569	19296	60.459418930080759
AQC7cm.3.378573	19296	58.16987442954732
CL3.6.378510	19256	41.474585108531755
499.538721	19210	51.161052887220016
MR2.414851	19195	39.101455937165866
NZFACE.R4.Ryegrass.16.4.604740	19174	36.798801018729023
NZFACE.R3.control.19.4.604756	19173	36.724273569343993
N.2.2.S.E.5.479890	19146	80.798528887864379
NZFACE.R3.Browntop.604759	19131	36.11007309307783
NSBE27July09.617488	19104	67.842204563454104
IDF3.REF.ORG.414811	19063	32.547260669766928
N.1.1.S.E.4.479772	18995	84.312773857980744
403.538703	18991	52.258626789427822
B.N.7.1.414794	18971	48.756645170193984
T.3.2.H.E.1.479865	18967	65.998726879869466
584.538619	18962	49.454209240232842
LbI.479667	18961	66.321007693699713
A.V.2.1.414755	18937	40.545772331748388
CL3.5.378638	18928	41.160215729994476
Northern.peatlands.488672	18878	52.9286074698026
400.538535	18853	57.227350962290721
BbE.479574	18843	57.987994470291596
A.V.2.2.414801	18792	40.051689535516097
KH9.488318	18773	30.979755600375334
661.538622	18757	55.933882903586266
T.2.1.S.E.4.479733	18748	76.416577088945331
DIRT08.414848	18729	37.236602575494857
365.538719	18709	61.316917786326009
SBS2.OM2C0.MIN.414812	18660	39.793571117059031
KH41.488303	18646	31.961461990546248
KH46.488269	18586	31.070061119819975
KH17.488279	18495	31.51846645076467
Halls0R2.603147	18488	54.08623564090518
Temperate.rain.forest.488670	18480	46.114872438685381
N.1.3.H.E.1.479666	18458	76.267575814457018
394.538593	18428	49.194595068039398
ME24Sep02EB1R1.486659	18425	27.974369046291219
BMC.8.1T.30.3.479844	18356	41.177365823962916
Tar.sand.2.488667	18291	43.990353315481684
KH3.488305	18267	30.611333066640345
A.N.2.1.414746	18263	39.504801562001916
N.1.2.S.E.1.479658	18263	69.35667513799946
KH29.488306	18255	32.369938791259933
533.538653	18248	51.194720157979525
N.3.2.S.E.1.479617	18216	75.392324076416486
544.538638	18207	52.415767819415102
415.538659	18147	54.182406907717215
SP1.414852	18133	38.223080900160546
619.538614	18131	51.729124932818685
437.538581	18125	53.024261349987988
568.538730	18081	49.073567886289979
W.2.2.H.E.3.479634	18060	80.188584851271443
T.2.1.S.E.1.479730	17986	75.033696422687925
532.538607	17975	50.12775032729423
555.538643	17942	46.181221135725778
TBH01Aug08.618979	17938	56.899306208743852
LuE.479902	17929	60.123463254845142
IDF2.REF.MIN.414827	17913	31.064079898121499
