	observed_species
M11Plmr.7.378534	4714
F11Plmr.7.378523	2474
M31Plmr.7.378506	4791
M31Tong.7.378603	6495
AQC1cm.7.378625	16874
M11Plmr.6.378531	5234
M31Plmr.6.378592	5283
F11Plmr.6.378587	2801
M31Tong.6.378608	7404
LMEpi24M.6.378590	11985
F11Tong.6.378670	6054
M11Tong.6.378633	3327
CC1.6.378513	31715
M31Plmr.5.378631	5422
M11Plmr.5.378627	5730
F11Plmr.5.378622	3134
NP5.5.378593	9905
F11Tong.5.378539	6143
AQC4cm.5.378630	28008
M31Fcsw.5.378680	7438
CC1.5.378505	32147
M11Plmr.3.378640	4950
M31Plmr.3.378571	4508
F11Plmr.3.378609	2674
AQC4cm.3.378580	23169
M31Fcsw.3.378512	6588
M31Plmr.2.378540	4663
M11Plmr.2.378538	4934
F11Plmr.2.378546	2719
M31Tong.2.378653	4944
F11Tong.2.378637	4800
M31Plmr.1.378515	5615
M11Plmr.1.378574	5869
F11Plmr.1.378650	3203
F11Fcsw.1.378686	7866
M31Plmr.4.378564	4620
M11Plmr.4.378636	4788
F11Plmr.4.378632	2511
TRRsed3.4.378629	10086
M11Tong.4.378611	2242
Even2.4.378567	5165
AQC4cm.4.378647	22870
F11Fcsw.4.378563	5969
SV1.7.378550	17454
SV1.6.378565	19406
SV1.5.378604	19450
SV1.3.378663	15601
SV1.2.378577	15263
SV1.1.378648	17777
SV1.4.378528	15980
NP5.3.378605	8651
NP3.2.378624	8677
NP3.1.378549	9904
CC1.3.378596	25647
CC1.1.378618	28135
AQC7cm.6.378675	25916
AQC1cm.5.378621	18387
AQC7cm.2.378569	21767
CC1.7.378614	28910
CC1.2.378656	24796
CC1.4.378684	25773
NP5.6.378692	9651
NP5.2.378689	8845
NP5.1.378681	10411
NP5.4.378576	8389
M31Fcsw.7.378554	5825
M11Fcsw.7.378690	7059
Even1.7.378585	6836
Even2.7.378589	4680
Even3.7.378570	4706
TS28.7.378581	4767
CL3.7.378524	20656
F11Fcsw.7.378599	5426
TS29.7.378516	4337
M11Fcsw.6.378646	7577
Even1.6.378691	7826
TS29.6.378566	4851
M31Fcsw.6.378623	6509
Even2.6.378643	5199
TS28.6.378694	5888
Even3.6.378557	5201
F11Fcsw.6.378591	6067
Even3.5.378598	5612
M11Fcsw.5.378527	7799
TS29.5.378661	5690
Even1.5.378606	7991
Even2.5.378533	5507
F11Fcsw.5.378586	6919
TS28.5.378677	6399
M11Fcsw.3.378617	6848
TS29.3.378658	4914
Even2.3.378543	5082
Even3.3.378525	5020
Even1.3.378674	6797
F11Fcsw.3.378693	6125
TS28.3.378502	5468
SLEpi20M.3.378559	8390
Even3.2.378615	5260
M31Fcsw.2.378582	6839
Even2.2.378572	5075
M11Fcsw.2.378610	7273
TS29.2.378578	4711
Even1.2.378619	6177
TS28.2.378509	5282
F11Fcsw.2.378667	6390
M31Fcsw.1.378522	8222
M11Fcsw.1.378517	8558
Even1.1.378500	7273
Even2.1.378535	6138
TS28.1.378579	6637
TS29.1.378657	5926
Even3.1.378584	6456
M11Fcsw.4.378545	6867
M31Fcsw.4.378672	6328
Even1.4.378655	6408
TS29.4.378597	4818
Even3.4.378541	5194
TS28.4.378639	5271
F11Tong.7.378695	5447
M31Tong.5.378660	7081
M31Tong.3.378685	5476
F11Tong.3.378537	4917
LMEpi24M.3.378514	9951
M31Tong.1.378612	5882
F11Tong.1.378616	5925
F11Tong.4.378664	5055
M31Tong.4.378553	5398
AQC7cm.7.378521	23262
AQC4cm.7.378526	25235
AQC4cm.6.378511	27873
AQC1cm.6.378645	18977
AQC7cm.5.378555	26324
AQC7cm.3.378573	21902
AQC4cm.2.378503	22617
AQC1cm.2.378601	13588
AQC4cm.1.378626	26097
AQC7cm.1.378628	24938
AQC7cm.4.378594	22362
M11Tong.1.378669	1222
TRRsed3.7.378662	10245
TRRsed2.6.378529	13842
TRRsed2.5.378620	14075
TRRsed3.5.378532	13495
TRRsed2.3.378575	10873
TRRsed3.3.378682	10854
TRRsed3.2.378668	10441
TRRsed2.2.378508	10297
TRRsed2.1.378519	12063
TRRsed3.1.378551	12166
TRRsed2.4.378641	11200
TRRsed2.7.378536	12393
NP5.7.378666	8704
TRRsed1.7.378671	4476
TRRsed3.6.378568	11743
TRRsed1.6.378552	5155
TRRsed1.5.378676	5194
TRRsed1.3.378518	4192
NP3.3.378607	8546
TRRsed1.2.378560	3850
TRRsed1.1.378665	4160
TRRsed1.4.378634	4217
CL3.3.378600	18370
NP3.7.378556	8821
NP3.6.378602	9788
NP3.5.378558	10058
NP3.4.378651	8362
CL3.6.378510	23134
CL3.5.378638	22736
CL3.2.378520	17193
CL3.1.378507	19656
CL3.4.378649	17654
SLEpi20M.4.378595	8173
LMEpi24M.1.378683	11578
AQC1cm.3.378547	14746
AQC1cm.4.378504	13633
AQC1cm.1.378562	15646
SLEpi20M.7.378679	7437
LMEpi24M.7.378588	10735
M11Tong.7.378644	2664
SLEpi20M.6.378654	9007
NP2.6.378673	4837
SLEpi20M.5.378583	9603
LMEpi24M.5.378530	12352
M11Tong.5.378652	2651
NP2.5.378542	4650
M11Tong.3.378688	1831
NP2.3.378548	3845
LMEpi24M.2.378501	10077
SLEpi20M.2.378678	8605
M11Tong.2.378635	1196
NP2.2.378642	4245
SLEpi20M.1.378561	10281
LMEpi24M.4.378687	10406
NP2.4.378544	4051
NP2.1.378613	4992
NP2.7.378659	3912
