	observed_species
Soil.NIL.100.N.14.2.479827	2907
BMC.8.1T.11.1.479642	3726
Phylospora.comosa.2.5.479848	1236
T.3.2.H.E.2.479796	2559
T.3.2.H.E.3.479655	2532
T.1.1.H.E.4.479573	1420
W.2.2.S.E.2.479726	1104
T.2.1.H.E.5.479871	1202
BuP.479847	1292
N.2.3.H.P.4.479624	1632
N.1.2.H.E.1.479781	1010
N.3.2.H.E.2.479643	728
W.2.2.H.E.1.479840	1143
N.2.2.H.E.5.479734	1475
N.3.1.H.E.1.479719	669
N.2.3.H.P.3.479782	1504
T.1.1.S.E.3.479607	1261
Phylospora.comosa.2.4.479919	1362
Phylospora.comosa.1.5.479652	1248
W.1.3.H.E.4.479776	1242
N.3.1.H.E.5.479828	840
T.3.2.S.E.5.479670	1925
Phylospora.comosa.3.5.479812	1473
BbK.479562	1490
N.2.3.H.E.3.479813	1182
W.2.1.S.E.5.479841	1088
N.3.1.H.E.3.479611	640
W.1.2.H.E.4.479680	1145
T.3.2.H.P.2.479894	1617
BuG.479791	1185
W.2.3.H.E.3.479891	1742
T.2.2.H.P.1.479757	1488
W.1.3.H.E.1.479777	1010
N.3.2.S.E.4.479889	2361
T.2.1.H.P.3.479689	1386
BMC.7.1T.20.1.479715	3367
Phylospora.comosa.4.5.479712	1370
T.2.2.H.P.2.479920	1747
N.1.2.H.E.5.479581	766
W.1.2.H.E.2.479561	1848
N.1.2.S.E.4.479765	1981
W.1.1.H.E.1.479824	1380
W.1.2.S.E.5.479728	1520
W.1.2.H.E.3.479682	1681
W.1.3.H.E.3.479834	1753
LbG.479910	1647
BuN.479829	1057
T.2.3.H.P.2.479838	1700
W.1.3.H.E.5.479750	1161
N.3.1.H.E.4.479681	597
BMC.7.5T.5.2.479810	2962
N.1.1.S.E.4.479772	2584
W.3.1.H.E.2.479825	1405
W.3.1.H.E.5.479747	3153
W.1.2.H.E.5.479869	1339
N.2.1.H.E.1.479924	1108
N.2.2.S.E.3.479696	3454
T.1.3.S.E.4.479790	1623
T.3.2.H.P.4.479591	1265
BuF.479582	2558
N.3.2.H.E.3.479763	875
N.2.2.H.E.1.479578	1430
N.1.2.H.E.3.479842	967
W.2.1.H.E.5.479601	1601
